Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	3	[0.0, 0.0, 0.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	1	[1.0, 0.0]
2	MoeSQLmosa	1	1	[0.0, 37.67236479491914]
2	MOTGA	0	2	[0.0, 0.0]
3	MoeSQLmosa	0	1	[33.26464646464647, 0.0, 1.0, 34.26464646464647, 33.26464646464647, 34.26464646464647]
3	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]
3	MoeSQLmosa	2	1	[1.0, 2.0, 2.0, 0.0, 1.0, 2.0]
3	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	4	1	[1.0, 2.0, 2.0, 2.0, 1.0, 0.0]
3	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	1	[1.0, 0.0]
4	MoeSQLmosa	1	1	[0.0, 26.249862831329274]
4	MOTGA	0	2	[0.0, 0.0]
5	MoeSQLmosa	0	1	[1.0, 0.0]
5	MoeSQLmosa	1	1	[0.0, 41.306354271767766]
5	MOTGA	0	2	[0.0, 0.0]
6	MoeSQLmosa	0	2	[0.0, 0.0]
6	MOTGA	0	2	[0.0, 0.0]
7	MoeSQLmosa	0	3	[0.0]
7	MOTGA	0	3	[0.0]
8	MoeSQLmosa	0	2	[0.0, 0.0]
8	MOTGA	0	2	[0.0, 0.0]
9	MoeSQLmosa	0	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
9	MoeSQLmosa	1	1	[13.0, 14.0, 14.0, 0.0, 1.0, 129.0, 66.0, 67.0, 192.0, 119.0, 172.0, 76.0, 66.0, 13.0, 75.0, 14.0, 66.0, 14.0, 180.0, 118.0, 128.0, 138.0, 17.228787878787877]
9	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0, 123.0, 47.0, 48.0, 199.0, 94.0, 141.0, 76.0, 47.0, 0.0, 75.0, 1.0, 47.0, 1.0, 168.0, 93.0, 122.0, 151.0, 4.2287878787878785]
9	MoeSQLmosa	3	1	[2.0, 0.0, 1.0, 3.0, 3.0, 125.0, 49.0, 50.0, 201.0, 96.0, 143.0, 78.0, 49.0, 2.0, 77.0, 3.0, 49.0, 3.0, 170.0, 95.0, 124.0, 153.0, 6.2287878787878785]
9	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 47.0, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 5.393079404586947E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 3.595386269724631E306, 5.393079404586947E306, 5.393079404586947E306, 5.393079404586947E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306]
9	MoeSQLmosa	5	1	[47.0, 48.0, 48.0, 48.0, 48.0, 65.0, 130.0, 48.0, 0.0, 47.0, 94.0, 1.0, 0.0, 66.0, 0.0, 1.0, 113.0, 67.0, 111.0, 46.0, 65.0, 66.0, 51.22878787878788]
9	MoeSQLmosa	6	1	[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 73.0, 48.0, 74.0, 120.0, 167.0, 74.0, 73.0, 147.0, 73.0, 1.0, 194.0, 148.0, 192.0, 119.0, 146.0, 147.0, 4.2287878787878785]
9	MoeSQLmosa	7	1	[44.0, 45.0, 45.0, 45.0, 45.0, 76.0, 0.0, 1.0, 152.0, 44.0, 0.0, 76.0, 88.0, 44.0, 119.0, 45.0, 0.0, 1.0, 119.0, 44.0, 75.0, 151.0, 48.22878787878788]
9	MoeSQLmosa	8	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
9	MoeSQLmosa	9	1	[1.0, 2.0, 2.0, 2.0, 2.0, 124.0, 48.0, 49.0, 200.0, 95.0, 142.0, 77.0, 48.0, 1.0, 76.0, 2.0, 48.0, 2.0, 169.0, 94.0, 123.0, 152.0, 0.0]
9	MoeSQLmosa	10	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 1.7976931348623156E306, 1.7976931348623156E306, 75.0, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 5.393079404586947E306, 1.7976931348623156E306, 0.0, 5.393079404586947E306, 1.7976931348623156E306, 5.393079404586947E306, 150.0, 1.7976931348623156E306]
9	MoeSQLmosa	11	1	[0.0, 1.0, 1.0, 1.0, 1.0, 115.0, 193.0, 75.0, 37.0, 0.0, 37.0, 1.0, 38.0, 116.0, 37.0, 38.0, 153.0, 80.0, 153.0, 75.0, 115.0, 79.0, 4.227840909090909]
9	MoeSQLmosa	12	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 79.0, 3.595386269724631E306, 1.7976931348623156E306, 3.595386269724631E306, 78.0, 1.7976931348623156E306]
9	MoeSQLmosa	13	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 42.0, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306]
9	MoeSQLmosa	14	1	[1.0, 2.0, 2.0, 2.0, 2.0, 30.0, 60.0, 3.0, 0.0, 1.0, 2.0, 1.0, 0.0, 31.0, 0.0, 2.0, 32.0, 32.0, 30.0, 0.0, 31.0, 31.0, 43.333333333333336]
9	MoeSQLmosa	15	1	[1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 3.0, 2.0, 2.0, 4.0, 2.0, 0.0, 1.0, 0.0, 1.0, 3.0, 3.0, 1.0, 2.0, 0.0, 1.0, 7.857142857142857]
9	MoeSQLmosa	16	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 5.393079404586947E306, 5.393079404586947E306, 2.0, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
9	MoeSQLmosa	17	1	[0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 3.0, 2.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 3.0, 0.0, 1.0, 1.0, 1.0, 6.935609756097561]
9	MOTGA	0	17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10	MoeSQLmosa	0	1	[29.19688644688645, 30.19688644688645, 30.19688644688645, 30.19688644688645, 30.19688644688645, 0.0, 1.0]
10	MoeSQLmosa	1	1	[33.666666666666664, 0.0, 1.0, 34.666666666666664, 34.666666666666664, 34.666666666666664, 34.666666666666664]
10	MoeSQLmosa	2	1	[35.34667325428195, 36.34667325428195, 36.34667325428195, 0.0, 1.0, 36.34667325428195, 36.34667325428195]
10	MoeSQLmosa	3	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
10	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
10	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
10	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
10	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11	MoeSQLmosa	0	2	[1.0, 0.0, 1.0, 0.0, 0.0]
11	MoeSQLmosa	1	1	[2.0, 1.0, 0.0, 1.0, 31.939475046311433]
11	MoeSQLmosa	2	1	[0.0, 1.0, 2.0, 1.0, 13.290081853012886]
11	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0, 0.0]
12	MoeSQLmosa	0	1	[1.0, 0.0, 1.0]
12	MoeSQLmosa	1	1	[0.0, 26.541767728207066, 1.0]
12	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
12	MOTGA	0	3	[0.0, 0.0, 0.0]
13	MoeSQLmosa	0	2	[0.0, 0.0]
13	MOTGA	0	2	[0.0, 0.0]
14	MoeSQLmosa	0	1	[43.86666666666667, 44.86666666666667, 44.86666666666667, 0.0, 1.0]
14	MoeSQLmosa	1	1	[39.7, 0.0, 1.0, 40.7, 40.7]
14	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
14	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
14	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
14	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
15	MoeSQLmosa	0	1	[1.0, 0.0]
15	MoeSQLmosa	1	1	[0.0, 14.928571428571429]
15	MOTGA	0	2	[0.0, 0.0]
17	MoeSQLmosa	0	2	[0.0, 0.0]
17	MOTGA	0	2	[0.0, 0.0]
18	MoeSQLmosa	0	1	[24.8, 0.0, 1.0, 25.8, 25.8, 25.8, 25.8, 49.90846233230134]
18	MoeSQLmosa	1	1	[3.9171009098428455, 4.917100909842846, 4.917100909842846, 0.0, 1.0, 4.917100909842846, 4.917100909842846, 36.89017783291977]
18	MoeSQLmosa	2	1	[9.019444444444444, 10.019444444444444, 10.019444444444444, 10.019444444444444, 10.019444444444444, 0.0, 1.0, 27.303555703555702]
18	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
18	MoeSQLmosa	4	1	[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0]
18	MoeSQLmosa	5	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
18	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
18	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
18	MOTGA	0	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
19	MoeSQLmosa	0	2	[0.0, 0.0]
19	MOTGA	0	2	[0.0, 0.0]
20	MoeSQLmosa	0	2	[897.8370746637474, 898.8370746637474, 898.8370746637474, 898.8370746637474, 897.8370746637474, 896.8370746637474, 883.0, 0.0, 1.0]
20	MoeSQLmosa	1	4	[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.7976931348623156E306]
20	MoeSQLmosa	2	2	[72.87419454783713, 40.22082708196968, 41.22082708196968, 73.87419454783713, 72.87419454783713, 73.87419454783713, 0.0, 32.65336746586746, 33.65336746586746]
20	MoeSQLmosa	3	2	[1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 2.0, 1.0]
20	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 1.0, 0.0]
20	MoeSQLmosa	5	2	[1.0, 2.0, 2.0, 2.0, 1.0, 0.0, 3.0, 2.0, 1.0]
20	MOTGA	0	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]
21	MoeSQLmosa	0	1	[0.0, 41.06790001236262]
21	MoeSQLmosa	1	1	[1.0, 0.0]
21	MOTGA	0	2	[0.0, 0.0]
22	MoeSQLmosa	0	2	[1.0, 0.0, 0.0]
22	MoeSQLmosa	1	1	[0.0, 19.023809523809526, 1.0]
22	MOTGA	0	3	[0.0, 0.0, 0.0]
23	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 1.0]
23	MoeSQLmosa	1	1	[7.998188405797102, 0.0, 1.0, 8.998188405797102, 8.998188405797102]
23	MoeSQLmosa	2	1	[28.272222222222222, 29.272222222222222, 29.272222222222222, 0.0, 1.0]
23	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
23	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
23	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
24	MoeSQLmosa	0	1	[1.0, 0.0]
24	MoeSQLmosa	1	1	[0.0, 17.819444444444443]
24	MOTGA	0	2	[0.0, 0.0]
25	MoeSQLmosa	0	1	[0.0, 25.603201793089514]
25	MoeSQLmosa	1	1	[1.0, 0.0]
25	MOTGA	0	2	[0.0, 0.0]
26	MoeSQLmosa	0	2	[10.902176936987063, 0.0, 1.0, 0.0, 1.0]
26	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0]
26	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
26	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
26	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
27	MoeSQLmosa	0	2	[0.0, 0.0]
27	MOTGA	0	2	[0.0, 0.0]
28	MoeSQLmosa	0	2	[0.0, 1.0, 0.0]
28	MoeSQLmosa	1	1	[1.0, 0.0, 1.0]
28	MOTGA	0	3	[0.0, 0.0, 0.0]
29	MoeSQLmosa	0	3	[0.0, 0.0, 0.0]
29	MOTGA	0	3	[0.0, 0.0, 0.0]
30	MoeSQLmosa	0	2	[0.0, 0.0]
30	MOTGA	0	2	[0.0, 0.0]
31	MoeSQLmosa	0	2	[0.0, 0.0, 1.0, 0.0, 1.0, 9.0, 1.0, 0.0, 1.0]
31	MoeSQLmosa	1	1	[1.0, 2.0, 2.0, 1.0, 2.0, 19.0, 0.0, 1.0, 2.0]
31	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
31	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
31	MoeSQLmosa	4	1	[1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0]
31	MoeSQLmosa	5	1	[1.0, 2.0, 2.0, 1.0, 2.0, 6.0, 2.0, 1.0, 0.0]
31	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
32	MoeSQLmosa	0	1	[44.21872082166199, 0.0, 1.0, 45.21872082166199, 45.21872082166199]
32	MoeSQLmosa	1	1	[44.21872082166199, 45.21872082166199, 45.21872082166199, 0.0, 1.0]
32	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
32	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
32	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
32	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
