Query Number	Algorithm	SolutionNumber	Size	Distance
9	MoeSQLmosa	0	1	[1.0, 0.0, 1.0]
9	MoeSQLmosa	1	1	[0.0, 10.857142857142858, 1.0]
9	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
9	MOTGA	0	3	[0.0, 0.0, 0.0]
10	MoeSQLmosa	0	1	[33.5, 34.5, 34.5, 0.0]
10	MoeSQLmosa	1	2	[0.0, 0.0, 1.0, 1.0]
10	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
10	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
11	MoeSQLmosa	0	2	[0.0, 0.0]
11	MOTGA	0	2	[0.0, 0.0]
12	MoeSQLmosa	0	1	[30.514221879963017, 0.0, 1.0, 31.514221879963017, 31.514221879963017, 31.514221879963017, 31.514221879963017]
12	MoeSQLmosa	1	1	[18.76952451793321, 19.76952451793321, 19.76952451793321, 0.0, 1.0, 19.76952451793321, 19.76952451793321]
12	MoeSQLmosa	2	1	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
12	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
12	MoeSQLmosa	4	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
12	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
12	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
12	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13	MoeSQLmosa	0	2	[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
13	MoeSQLmosa	1	1	[35.5, 36.5, 36.5, 36.5, 36.5, 0.0, 1.0]
13	MoeSQLmosa	2	1	[36.0, 37.0, 37.0, 0.0, 1.0, 37.0, 37.0]
13	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
13	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
13	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
13	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
14	MoeSQLmosa	0	1	[1.0, 0.0]
14	MoeSQLmosa	1	1	[0.0, 28.0]
14	MOTGA	0	2	[0.0, 0.0]
15	MoeSQLmosa	0	1	[33.09859972900834, 0.0, 1.0, 34.09859972900834, 34.09859972900834, 34.09859972900834, 34.09859972900834]
15	MoeSQLmosa	1	1	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
15	MoeSQLmosa	2	1	[11.378861369109046, 12.378861369109046, 12.378861369109046, 0.0, 1.0, 12.378861369109046, 12.378861369109046]
15	MoeSQLmosa	3	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
15	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
15	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
15	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
15	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
16	MoeSQLmosa	0	2	[33.585265512837836, 0.0, 1.0, 34.585265512837836, 0.0]
16	MoeSQLmosa	1	1	[8.0, 9.0, 9.0, 0.0, 1.0]
16	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
16	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
16	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
17	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 1.0]
17	MoeSQLmosa	1	2	[8.0, 0.0, 1.0, 0.0, 1.0]
17	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
17	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
17	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
18	MoeSQLmosa	0	2	[0.0, 0.0]
18	MOTGA	0	2	[0.0, 0.0]
19	MoeSQLmosa	0	1	[32.66667084927954, 0.0, 33.66667084927954, 33.66667084927954]
19	MoeSQLmosa	1	2	[0.0, 1.0, 0.0, 1.0]
19	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
19	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
20	MoeSQLmosa	0	1	[32.61639282497491, 0.0, 33.61639282497491, 33.61639282497491, 33.61639282497491, 33.61639282497491, 33.61639282497491]
20	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
20	MoeSQLmosa	2	1	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
20	MoeSQLmosa	3	1	[4.604395964360587, 5.604395964360587, 5.604395964360587, 0.0, 1.0, 5.604395964360587, 5.604395964360587]
20	MoeSQLmosa	4	1	[19.351372833026726, 20.351372833026726, 0.0, 20.351372833026726, 20.351372833026726, 20.351372833026726, 20.351372833026726]
20	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
20	MoeSQLmosa	6	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
20	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
21	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0]
21	MoeSQLmosa	1	1	[8.0, 9.0, 0.0, 1.0]
21	MoeSQLmosa	2	1	[34.92320318570318, 0.0, 35.92320318570318, 35.92320318570318]
21	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
21	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
22	MoeSQLmosa	0	3	[0.0, 1.0, 0.0, 0.0]
22	MoeSQLmosa	1	1	[30.755688780030884, 0.0, 31.755688780030884, 31.755688780030884]
22	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
23	MoeSQLmosa	0	4	[8.0, 9.0, 9.0, 9.0, 0.0, 0.0, 0.0, 2.0, 1.0]
23	MoeSQLmosa	1	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0]
23	MoeSQLmosa	2	3	[8.0, 9.0, 0.0, 1.0, 9.0, 9.0, 2.0, 0.0, 3.0]
23	MoeSQLmosa	3	3	[32.0, 0.0, 33.0, 0.0, 33.0, 33.0, 2.0, 1.7976931348623156E306, 1.7976931348623156E306]
23	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 0.0]
23	MOTGA	0	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.7976931348623156E306]
24	MoeSQLmosa	0	2	[1.0, 0.0, 0.0]
24	MoeSQLmosa	1	1	[0.0, 31.369202535058903, 1.0]
24	MOTGA	0	3	[0.0, 0.0, 0.0]
25	MoeSQLmosa	0	1	[34.27287537537538, 0.0, 1.0, 35.27287537537538, 35.27287537537538]
25	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0]
25	MoeSQLmosa	2	1	[8.0, 9.0, 9.0, 0.0, 1.0]
25	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
25	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
25	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
26	MoeSQLmosa	0	2	[33.58584991397491, 1.0, 1.0, 1.0, 0.0, 0.0]
26	MoeSQLmosa	1	3	[0.0, 1.0, 1.0, 0.0, 2.0, 2.0]
26	MoeSQLmosa	2	2	[8.0, 9.0, 0.0, 1.0, 10.0, 2.0]
26	MoeSQLmosa	3	2	[31.79186409898139, 0.0, 32.79186409898139, 32.79186409898139, 33.79186409898139, 2.0]
26	MOTGA	0	4	[0.0, 1.0, 0.0, 0.0, 2.0, 2.0]
26	MOTGA	1	4	[31.79186409898139, 0.0, 1.0, 1.0, 0.0, 2.0]
27	MoeSQLmosa	0	1	[8.0, 9.0, 0.0, 1.0]
27	MoeSQLmosa	1	1	[32.17863313097544, 0.0, 33.17863313097544, 33.17863313097544]
27	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0]
27	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
27	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
28	MoeSQLmosa	0	2	[9.713644688644688, 0.0, 1.0, 0.0, 1.0, 10.713644688644688, 10.713644688644688, 10.713644688644688, 10.713644688644688]
28	MoeSQLmosa	1	1	[8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
28	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
28	MoeSQLmosa	3	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
28	MoeSQLmosa	4	1	[6.833333333333334, 7.833333333333334, 7.833333333333334, 7.833333333333334, 7.833333333333334, 0.0, 1.0, 7.833333333333334, 7.833333333333334]
28	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
28	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
28	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
28	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
29	MoeSQLmosa	0	2	[1.0, 30.5, 1.0, 0.0, 0.0, 3.0]
29	MoeSQLmosa	1	2	[0.0, 8.0, 1.0, 12.0, 2.0, 3.0]
29	MoeSQLmosa	2	2	[1.0, 0.0, 1.0, 4.0, 2.0, 3.0]
29	MoeSQLmosa	3	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 2.0, 3.0]
29	MoeSQLmosa	4	2	[1.0, 1.7976931348623156E306, 1.0, 0.0, 3.0, 0.0]
29	MOTGA	0	6	[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]
30	MoeSQLmosa	0	3	[8.0, 0.0, 1.0, 0.0, 0.0]
30	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0]
30	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
30	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
31	MoeSQLmosa	0	2	[8.0, 0.0, 0.0, 1.0]
31	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0]
31	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
31	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
32	MoeSQLmosa	0	1	[8.0, 0.0, 1.0, 9.0, 9.0, 9.0, 9.0]
32	MoeSQLmosa	1	2	[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]
32	MoeSQLmosa	2	2	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 0.0]
32	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
32	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
32	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
33	MoeSQLmosa	0	1	[8.0, 9.0, 0.0, 1.0]
