Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	134	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	10	3	3	[0.0, 0.0, 0.0]	0	15	
2	MoeSQLmosa	111	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
2	MOTGA	65	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
3	MoeSQLmosa	690	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	11	601	
3	MOTGA	107	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
4	MoeSQLmosa	436	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	300	
4	MOTGA	482	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	157	
5	MoeSQLmosa	105	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	150	
5	MOTGA	349	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	161	
6	MoeSQLmosa	27	3	3	[0.0, 0.0, 0.0]	0	100	
6	MOTGA	8	3	3	[0.0, 0.0, 0.0]	0	24	
7	MoeSQLmosa	50	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	33	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	40	
8	MoeSQLmosa	17	3	3	[0.0, 0.0, 0.0]	0	100	
8	MOTGA	6	3	3	[0.0, 0.0, 0.0]	0	24	
9	MoeSQLmosa	14	3	3	[0.0, 0.0, 0.0]	0	100	
9	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	24	
10	MoeSQLmosa	24	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
10	MOTGA	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	33	
11	MoeSQLmosa	33	2	2	[0.0, 0.0]	0	100	
11	MOTGA	2	2	2	[0.0, 0.0]	0	5	
12	MoeSQLmosa	50	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
12	MOTGA	31	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
13	MoeSQLmosa	97	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	244	
13	MOTGA	35	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	125	
14	MoeSQLmosa	24	2	2	[0.0, 0.0]	0	100	
14	MOTGA	3	2	2	[0.0, 0.0]	0	11	
15	MoeSQLmosa	34	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
15	MOTGA	28	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
16	MoeSQLmosa	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
16	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
17	MoeSQLmosa	31	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
17	MOTGA	19	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
18	MoeSQLmosa	22	2	2	[0.0, 0.0]	0	100	
18	MOTGA	1	2	2	[0.0, 0.0]	0	5	
19	MoeSQLmosa	33	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
19	MOTGA	50	4	4	[0.0, 0.0, 0.0, 0.0]	0	33	
20	MoeSQLmosa	132	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	240	
20	MOTGA	55	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	152	
21	MoeSQLmosa	26	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
21	MOTGA	14	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
22	MoeSQLmosa	27	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
22	MOTGA	16	4	4	[0.0, 0.0, 0.0, 0.0]	0	21	
23	MoeSQLmosa	59	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
23	MOTGA	120	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.7976931348623156E306]	6	123	
24	MoeSQLmosa	13	3	3	[0.0, 0.0, 0.0]	0	100	
24	MOTGA	3	3	3	[0.0, 0.0, 0.0]	0	15	
25	MoeSQLmosa	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
25	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
26	MoeSQLmosa	42	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
26	MOTGA	25	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	1	62	
27	MoeSQLmosa	46	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
27	MOTGA	25	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
28	MoeSQLmosa	89	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	285	
28	MOTGA	91	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	235	
29	MoeSQLmosa	367	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	22	1200	
29	MOTGA	285	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	4	139	
30	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
30	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	46	
31	MoeSQLmosa	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
31	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
32	MoeSQLmosa	31	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
32	MOTGA	45	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	102	
33	MoeSQLmosa	17	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
33	MOTGA	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
34	MoeSQLmosa	23	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
34	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	40	
35	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
35	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
36	MoeSQLmosa	33	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
36	MOTGA	34	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
37	MoeSQLmosa	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
37	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
38	MoeSQLmosa	35	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
38	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
39	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
39	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
40	MoeSQLmosa	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
40	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	22	
41	MoeSQLmosa	1161	12	12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	21	1150	
41	MOTGA	6429	12	12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	9	484	
42	MoeSQLmosa	46	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
42	MOTGA	42	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	93	
43	MoeSQLmosa	46730	15	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2597	129950	
43	MOTGA	45678	15	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 9.0, 0.0]	7	1316	
44	MoeSQLmosa	17	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
44	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
45	MoeSQLmosa	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
45	MOTGA	4	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
46	MoeSQLmosa	21	2	2	[0.0, 0.0]	0	100	
46	MOTGA	1	2	2	[0.0, 0.0]	0	11	
47	MoeSQLmosa	14	3	3	[0.0, 0.0, 0.0]	0	100	
47	MOTGA	2	3	3	[0.0, 0.0, 0.0]	0	15	
48	MoeSQLmosa	7	3	3	[0.0, 0.0, 0.0]	0	100	
48	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	24	
49	MoeSQLmosa	13	2	2	[0.0, 0.0]	0	100	
49	MOTGA	2	2	2	[0.0, 0.0]	0	11	
50	MoeSQLmosa	123	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	374	
50	MOTGA	43	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
51	MoeSQLmosa	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
51	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
