Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	70985	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	474	23800	
1	MOTGA	19231	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0]	18	1221	
2	MoeSQLmosa	6329	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	89	4550	
2	MOTGA	1973	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 3.0]	11	543	
3	MoeSQLmosa	50222	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	429	21550	
3	MOTGA	16953	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0]	20	1348	
4	MoeSQLmosa	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
5	MoeSQLmosa	10	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
5	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
6	MoeSQLmosa	95	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	450	
6	MOTGA	108	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	4	137	
7	MoeSQLmosa	21	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
8	MoeSQLmosa	86	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	400	
8	MOTGA	202	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	4	146	
9	MoeSQLmosa	56	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	196	
9	MOTGA	16	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
10	MoeSQLmosa	140	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	13	750	
10	MOTGA	55	5	6	[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	3	81	
11	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
11	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
12	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
12	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
