Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	210	0	50		
1	evosql	2	1	63	0	50		
1	evosql	3	1	112	0	50		
2	evosql	1	1	76	0	50		
2	evosql	2	1	52	0	50		
3	evosql	1	1	88	0	50		
3	evosql	2	1	59	0	50		
3	evosql	3	1	47	0	50		
3	evosql	4	1	95	0	50		
3	evosql	5	1	44	0	50		
3	evosql	6	1	49	0	50		
4	evosql	1	1	66	0	50		
4	evosql	2	1	52	0	50		
5	evosql	1	1	79	0	50		
5	evosql	2	1	42	0	50		
6	evosql	1	1	29	0	50		
6	evosql	2	1	19	0	50		
7	evosql	1	1	54	0	50		
8	evosql	1	1	35	0	50		
8	evosql	2	1	21	0	50		
9	evosql	1	1	3223	39	1985		
9	evosql	2	1	3792	57	2881		
9	evosql	3	1	2976	54	2719		
9	evosql	4	1	551	2	145		
9	evosql	5	1	307	8	433		
9	evosql	6	1	1854	27	1377		
9	evosql	7	1	3457	60	3015		
9	evosql	8	1	1515	32	1632		
9	evosql	9	1	1678	31	1583		
9	evosql	10	1	1845	27	1361		
9	evosql	11	1	2242	39	1983		
9	evosql	12	1	2201	48	2423		
9	evosql	13	1	4009	65	3245		
9	evosql	14	1	3350	60	3016		
9	evosql	15	1	3352	63	3170		
9	evosql	16	1	977	21	1086		
9	evosql	17	1	2160	30	1537		
9	evosql	18	1	547	12	645		
9	evosql	19	1	4060	75	3764		
9	evosql	20	1	8176	135	6700		
9	evosql	21	1	4587	77	3863		
9	evosql	22	1	2559	48	2426		
9	evosql	23	1	1826	35	1771		
10	evosql	1	1	26	1	100		
10	evosql	2	1	10	0	50		
10	evosql	3	1	21	1	99		
10	evosql	4	1	19	1	100		
10	evosql	5	1	28	2	150		
10	evosql	6	1	11	0	50		
10	evosql	7	1	36	2	150		
11	evosql	1	1	17	0	50		
11	evosql	2	1	10	0	50		
11	evosql	3	1	8	0	50		
11	evosql	4	1	8	0	50		
11	evosql	5	1	8	0	50		
12	evosql	1	1	16	0	50		
12	evosql	2	1	13	0	50		
12	evosql	3	1	13	0	50		
13	evosql	1	1	13	0	50		
13	evosql	2	1	11	0	50		
14	evosql	1	1	26	0	50		
14	evosql	2	1	10	0	50		
14	evosql	3	1	48	1	98		
14	evosql	4	1	13	0	50		
14	evosql	5	1	36	1	95		
15	evosql	1	1	10	0	50		
15	evosql	2	1	9	0	50		
17	evosql	1	1	11	0	50		
17	evosql	2	1	7	0	50		
18	evosql	1	1	182	4	245		
18	evosql	2	1	79	2	147		
18	evosql	3	1	204	4	243		
18	evosql	4	1	130	4	244		
18	evosql	5	1	79	3	197		
18	evosql	6	1	16	0	50		
18	evosql	7	1	68	2	149		
18	evosql	8	1	319	6	344		
19	evosql	1	1	12	0	50		
19	evosql	2	1	11	0	50		
20	evosql	1	1	130	0	50		
20	evosql	2	1	116	0	50		
20	evosql	3	1	220	1	95		
20	evosql	4	1	66	0	50		
20	evosql	5	1	62	0	50		
20	evosql	6	1	206	0	50		
20	evosql	7	1	58	0	50		
20	evosql	8	1	86	0	50		
20	evosql	9	1	54	0	50		
21	evosql	1	1	34	0	50		
21	evosql	2	1	18	0	50		
22	evosql	1	1	49	0	50		
22	evosql	2	1	14	0	50		
22	evosql	3	1	14	0	50		
23	evosql	1	1	14	0	50		
23	evosql	2	1	14	0	50		
23	evosql	3	1	15	0	50		
23	evosql	4	1	14	0	50		
23	evosql	5	1	25	1	99		
24	evosql	1	1	36	0	50		
24	evosql	2	1	11	0	50		
25	evosql	1	1	24	0	50		
25	evosql	2	1	28	0	50		
26	evosql	1	1	18	0	50		
26	evosql	2	1	19	0	50		
26	evosql	3	1	18	0	50		
26	evosql	4	1	18	0	50		
26	evosql	5	1	16	0	50		
27	evosql	1	1	26	0	50		
27	evosql	2	1	23	0	50		
28	evosql	1	1	15	0	50		
28	evosql	2	1	9	0	50		
28	evosql	3	1	11	0	50		
29	evosql	1	1	24	0	50		
