Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	508	0	50		
1	evosql	2	1	32	0	50		
1	evosql	3	1	26	0	50		
2	evosql	1	1	80	0	50		
2	evosql	2	1	34	0	50		
2	evosql	3	1	38	0	50		
2	evosql	4	1	94	0	50		
2	evosql	5	1	34	0	50		
3	evosql	1	1	72	1	100		
3	evosql	2	1	31	0	50		
3	evosql	3	1	453	12	636		
3	evosql	4	1	26	0	50		
3	evosql	5	1	96	3	196		
3	evosql	6	1	19	0	50		
3	evosql	7	1	15	0	50		
3	evosql	8	1	53	2	146		
3	evosql	9	1	72	4	249		
4	evosql	1	1	62	0	50		
4	evosql	2	1	41	0	50		
4	evosql	3	1	35	0	50		
4	evosql	4	1	31	0	50		
4	evosql	5	1	79	1	95		
4	evosql	6	1	52	0	50		
4	evosql	7	1	226	1	100		
4	evosql	8	1	38	0	50		
4	evosql	9	1	90	1	94		
4	evosql	10	1	33	0	50		
5	evosql	1	1	30	0	50		
5	evosql	2	1	49	1	96		
5	evosql	3	1	24	0	50		
5	evosql	4	1	50	0	50		
5	evosql	5	1	23	0	50		
5	evosql	6	1	49	1	98		
5	evosql	7	1	21	0	50		
5	evosql	8	1	29	0	50		
6	evosql	1	1	20	0	50		
6	evosql	2	1	14	0	50		
6	evosql	3	1	17	0	50		
7	evosql	1	1	32	0	50		
7	evosql	2	1	23	0	50		
7	evosql	3	1	30	0	50		
7	evosql	4	1	27	0	50		
7	evosql	5	1	32	0	50		
8	evosql	1	1	15	0	50		
8	evosql	2	1	14	0	50		
8	evosql	3	1	16	0	50		
9	evosql	1	1	9	0	50		
9	evosql	2	1	9	0	50		
9	evosql	3	1	10	0	50		
10	evosql	1	1	16	0	50		
10	evosql	2	1	13	0	50		
10	evosql	3	1	13	0	50		
10	evosql	4	1	11	0	50		
11	evosql	1	1	33	0	50		
11	evosql	2	1	23	0	50		
12	evosql	1	1	17	0	50		
12	evosql	2	1	17	0	50		
12	evosql	3	1	12	0	50		
12	evosql	4	1	35	0	50		
12	evosql	5	1	15	0	50		
12	evosql	6	1	15	0	50		
12	evosql	7	1	12	0	50		
13	evosql	1	1	13	0	50		
13	evosql	2	1	13	0	50		
