Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	7	[13.324371758272688, 20.857142857142858, 14.324371758272688, 14.324371758272688, 13.324371758272688, 14.324371758272688, 0.0, 20.857142857142858, 20.857142857142858, 0.0, 20.857142857142858, 20.857142857142858, 0.0, 20.857142857142858, 17.0, 4.0, 20.857142857142858, 20.857142857142858, 0.0, 0.0, 20.857142857142858, 41.6, 4.0, 20.857142857142858, 20.857142857142858, 0.0, 1.0]
1	MoeSQLmosa	1	6	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 16.023124748786763, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 9.75, 9.75, 0.0, 9.75, 9.75, 0.0, 9.75, 2.0, 2.0, 9.75, 9.75, 0.0, 1.0, 9.75, 24.0, 4.0, 9.75, 9.75, 0.0, 1.0]
1	MoeSQLmosa	2	6	[13.06078077345979, 15.002905833179668, 14.06078077345979, 14.06078077345979, 13.06078077345979, 14.06078077345979, 0.0, 15.002905833179668, 15.002905833179668, 0.0, 15.002905833179668, 15.002905833179668, 0.0, 15.002905833179668, 3.595386269724631E306, 4.0, 15.002905833179668, 15.002905833179668, 1.0, 0.0, 15.002905833179668, 31.61231601731602, 4.0, 15.002905833179668, 15.002905833179668, 0.0, 1.0]
1	MoeSQLmosa	3	6	[20.0, 8.0, 12.0, 13.0, 21.0, 20.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 0.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 35.14685443283004, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0]
1	MoeSQLmosa	4	6	[20.5, 8.0, 12.5, 13.5, 20.5, 21.5, 0.0, 5.923076923076923, 5.923076923076923, 0.0, 5.923076923076923, 5.923076923076923, 0.0, 5.923076923076923, 1.0, 3.0, 5.923076923076923, 5.923076923076923, 0.0, 1.0, 5.923076923076923, 0.0, 4.0, 5.923076923076923, 5.923076923076923, 2.0, 1.0]
1	MoeSQLmosa	5	6	[20.0, 8.0, 12.0, 13.0, 21.0, 20.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 0.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 3.595386269724631E306, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 0.0]
1	MoeSQLmosa	6	7	[20.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 0.0, 3.595386269724631E306, 4.0, 20.0, 20.0, 1.0, 0.0]
1	MoeSQLmosa	7	7	[11.5, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0]
1	MoeSQLmosa	8	7	[14.944444444444445, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0, 14.944444444444445, 2.0, 4.0, 14.944444444444445, 14.944444444444445, 2.0, 1.0]
1	MoeSQLmosa	9	6	[6.944444444444445, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 6.944444444444445, 6.944444444444445, 2.0, 6.944444444444445, 6.944444444444445, 2.0, 6.944444444444445, 2.0, 4.0, 6.944444444444445, 6.944444444444445, 2.0, 1.0, 6.944444444444445, 2.0, 4.0, 6.944444444444445, 6.944444444444445, 2.0, 1.0]
1	MoeSQLmosa	10	7	[12.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 4.0, 12.0, 12.0, 2.0, 1.0, 12.0, 2.0, 4.0, 12.0, 12.0, 2.0, 1.0]
1	MoeSQLmosa	11	6	[0.5, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 0.5, 0.5, 2.0, 0.5, 2.0, 4.0, 0.5, 0.5, 2.0, 1.0, 0.5, 2.0, 4.0, 0.5, 0.5, 2.0, 1.0]
1	MoeSQLmosa	12	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	13	6	[1.7976931348623156E306, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	14	7	[12.0, 0.0, 13.0, 13.0, 14.0, 15.0, 0.0, 14.0, 15.0, 0.0, 14.0, 15.0, 2.0, 17.0, 2.0, 4.0, 15.0, 16.0, 2.0, 1.0, 17.0, 2.0, 4.0, 15.0, 16.0, 2.0, 1.0]
1	MoeSQLmosa	15	8	[0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0]
1	MoeSQLmosa	16	7	[8.0, 9.0, 0.0, 1.0, 10.0, 11.0, 2.0, 10.0, 11.0, 0.0, 10.0, 11.0, 0.0, 13.0, 2.0, 4.0, 11.0, 12.0, 2.0, 1.0, 13.0, 2.0, 4.0, 11.0, 12.0, 2.0, 1.0]
1	MoeSQLmosa	17	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	18	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0]
1	MoeSQLmosa	19	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	20	6	[20.0, 8.0, 12.0, 13.0, 20.0, 21.0, 0.0, 6.907407407407407, 6.907407407407407, 0.0, 6.907407407407407, 6.907407407407407, 0.0, 6.907407407407407, 4.0, 0.0, 6.907407407407407, 6.907407407407407, 2.0, 1.0, 6.907407407407407, 1.0, 3.0, 6.907407407407407, 6.907407407407407, 0.0, 1.0]
1	MoeSQLmosa	21	6	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	22	6	[12.0, 0.5, 13.0, 13.0, 12.0, 13.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 4.0, 0.5, 0.5, 2.0, 1.0, 0.5, 4.0, 0.0, 0.5, 0.5, 2.0, 1.0]
1	MOTGA	0	7	[12.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 4.0, 12.0, 12.0, 2.0, 1.0, 12.0, 2.0, 4.0, 12.0, 12.0, 2.0, 1.0]
