Query Number	Algorithm	Coverage %	Query Time Passed
1	evosql	3.7	1379
1	evosql	7.41	3142
1	evosql	11.11	6447
1	evosql	14.81	8867
1	evosql	18.52	12113
1	evosql	22.22	15263
1	evosql	25.93	15438
1	evosql	29.63	19644
1	evosql	33.33	22271
1	evosql	37.04	22326
1	evosql	40.74	25944
1	evosql	44.44	28472
1	evosql	48.15	28531
1	evosql	51.85	34147
1	evosql	55.56	34196
1	evosql	59.26	35924
1	evosql	62.96	96843
1	evosql	66.67	267244
1	evosql	70.37	267421
1	evosql	74.07	480369
1	evosql	77.78	481477
1	evosql	81.48	1048963
1	evosql	85.19	1049023
1	evosql	88.89	1149126
2	evosql	5.56	102
2	evosql	11.11	265
2	evosql	16.67	358
2	evosql	22.22	677
2	evosql	27.78	1351
2	evosql	33.33	1385
2	evosql	38.89	1606
2	evosql	44.44	2513
2	evosql	50	2546
2	evosql	55.56	2651
2	evosql	61.11	3049
2	evosql	66.67	3084
2	evosql	72.22	3444
2	evosql	77.78	6964
2	evosql	83.33	6999
2	evosql	88.89	7107
2	evosql	94.44	7144
2	evosql	100	7635
3	evosql	3.57	1927
3	evosql	7.14	2951
3	evosql	10.71	4949
3	evosql	14.29	7943
3	evosql	17.86	9630
3	evosql	21.43	12113
3	evosql	25	15873
3	evosql	28.57	15929
3	evosql	32.14	19040
3	evosql	35.71	22823
3	evosql	39.29	23025
3	evosql	42.86	24770
3	evosql	46.43	29128
3	evosql	50	29183
3	evosql	53.57	31662
3	evosql	57.14	31718
3	evosql	60.71	34399
3	evosql	64.29	39119
3	evosql	67.86	40940
3	evosql	71.43	40997
3	evosql	75	41230
3	evosql	78.57	41824
3	evosql	82.14	41885
3	evosql	85.71	46774
3	evosql	89.29	49365
3	evosql	92.86	53593
3	evosql	96.43	53656
3	evosql	100	53712
4	evosql	20	5
4	evosql	40	10
4	evosql	60	14
4	evosql	80	19
4	evosql	100	24
5	evosql	25	9
5	evosql	50	14
5	evosql	75	20
5	evosql	100	25
6	evosql	16.67	12
6	evosql	33.33	21
6	evosql	50	34
6	evosql	66.67	50
6	evosql	83.33	64
6	evosql	100	278
7	evosql	25	5
7	evosql	50	10
7	evosql	75	15
7	evosql	100	19
8	evosql	16.67	20
8	evosql	33.33	28
8	evosql	50	54
8	evosql	66.67	69
8	evosql	83.33	87
8	evosql	100	185
9	evosql	14.29	12
9	evosql	28.57	17
9	evosql	42.86	28
9	evosql	57.14	35
9	evosql	71.43	51
9	evosql	85.71	64
9	evosql	100	75
10	evosql	16.67	9
10	evosql	33.33	43
10	evosql	50	50
10	evosql	66.67	65
10	evosql	83.33	82
10	evosql	100	176
11	evosql	20	6
11	evosql	40	11
11	evosql	60	18
11	evosql	80	23
11	evosql	100	29
12	evosql	20	5
12	evosql	40	10
12	evosql	60	15
12	evosql	80	19
12	evosql	100	24
13	evosql	20	7
13	evosql	40	13
13	evosql	60	18
13	evosql	80	24
13	evosql	100	29
14	evosql	25	6
14	evosql	50	12
14	evosql	75	17
14	evosql	100	22
15	evosql	6.25	60
15	evosql	12.5	182
15	evosql	18.75	276
15	evosql	25	337
15	evosql	31.25	488
15	evosql	37.5	763
15	evosql	43.75	789
15	evosql	50	819
15	evosql	56.25	985
15	evosql	62.5	1010
15	evosql	68.75	1053
15	evosql	75	1452
15	evosql	81.25	1478
15	evosql	87.5	1500
15	evosql	93.75	2219
15	evosql	100	2244
16	evosql	2.33	659
16	evosql	4.65	3950
16	evosql	6.98	6578
16	evosql	9.3	8504
16	evosql	11.63	11897
16	evosql	13.95	14594
16	evosql	16.28	16356
16	evosql	18.6	17441
16	evosql	20.93	20938
16	evosql	23.26	20997
16	evosql	25.58	22277
16	evosql	27.91	27905
16	evosql	30.23	27960
16	evosql	32.56	30892
16	evosql	34.88	32794
16	evosql	37.21	32853
16	evosql	39.53	34628
16	evosql	41.86	34688
16	evosql	44.19	36335
16	evosql	46.51	54058
16	evosql	48.84	61870
16	evosql	51.16	61932
16	evosql	53.49	61985
16	evosql	55.81	62554
16	evosql	58.14	62721
16	evosql	60.47	65039
16	evosql	62.79	68203
16	evosql	65.12	74723
16	evosql	67.44	74797
16	evosql	69.77	74858
16	evosql	72.09	75485
16	evosql	74.42	76162
16	evosql	76.74	79946
16	evosql	79.07	80044
16	evosql	81.4	82723
16	evosql	83.72	84649
16	evosql	86.05	85109
16	evosql	88.37	85908
16	evosql	90.7	87046
16	evosql	93.02	87502
16	evosql	95.35	88661
16	evosql	97.67	89604
16	evosql	100	90064
17	evosql	20	7
17	evosql	40	15
17	evosql	60	19
17	evosql	80	25
17	evosql	100	33
18	evosql	3.13	2180
18	evosql	6.25	3812
18	evosql	9.38	7146
18	evosql	12.5	9772
18	evosql	15.63	12207
18	evosql	18.75	15030
18	evosql	21.88	17956
18	evosql	25	18019
18	evosql	28.13	22759
18	evosql	31.25	26857
18	evosql	34.38	26910
18	evosql	37.5	39040
18	evosql	40.63	46839
18	evosql	43.75	46907
18	evosql	46.88	49292
18	evosql	50	49351
18	evosql	53.13	50230
18	evosql	56.25	58508
18	evosql	59.38	66493
18	evosql	62.5	66559
18	evosql	65.63	66613
18	evosql	68.75	76097
18	evosql	71.88	76176
18	evosql	75	82463
18	evosql	78.13	83879
18	evosql	81.25	101310
18	evosql	84.38	101395
18	evosql	87.5	101596
18	evosql	90.63	111819
18	evosql	93.75	115236
18	evosql	96.88	119949
18	evosql	100	124033
19	evosql	3.33	6594
19	evosql	6.67	12156
19	evosql	10	16695
19	evosql	13.33	21464
19	evosql	16.67	35385
19	evosql	20	45497
19	evosql	23.33	45571
19	evosql	26.67	52627
19	evosql	30	65189
19	evosql	33.33	65259
19	evosql	36.67	75590
19	evosql	40	94754
19	evosql	43.33	94822
19	evosql	46.67	100402
19	evosql	50	100470
19	evosql	53.33	107790
19	evosql	56.67	350001
19	evosql	60	350066
19	evosql	63.33	491545
19	evosql	66.67	495738
19	evosql	70	833689
19	evosql	73.33	833779
19	evosql	76.67	1044832
19	evosql	80	1048956
20	evosql	3.03	4257
20	evosql	6.06	7114
20	evosql	9.09	11045
20	evosql	12.12	14379
20	evosql	15.15	21268
20	evosql	18.18	21337
20	evosql	21.21	24276
20	evosql	24.24	26845
20	evosql	27.27	26920
20	evosql	30.3	31146
20	evosql	33.33	39592
20	evosql	36.36	39669
20	evosql	39.39	41279
20	evosql	42.42	41345
20	evosql	45.45	45466
20	evosql	48.48	50458
20	evosql	51.52	68012
20	evosql	54.55	68087
20	evosql	57.58	68152
20	evosql	60.61	69701
20	evosql	63.64	69784
20	evosql	66.67	74298
20	evosql	69.7	79892
20	evosql	72.73	85237
20	evosql	75.76	85467
20	evosql	78.79	85545
20	evosql	81.82	87675
20	evosql	84.85	87768
20	evosql	87.88	88763
20	evosql	90.91	98640
20	evosql	93.94	104126
20	evosql	96.97	112856
20	evosql	100	115957
21	evosql	6.25	131
21	evosql	12.5	205
21	evosql	18.75	276
21	evosql	25	473
21	evosql	31.25	506
21	evosql	37.5	574
21	evosql	43.75	602
21	evosql	50	691
21	evosql	56.25	789
