Query Number	Algorithm	SolutionNumber	Size	Distance
9	MoeSQLmosa	12	1	[0.0, 1.0, 1.0, 1.0, 1.0, 47.0, 79.0, 27.0, 13.0, 0.0, 13.0, 1.0, 14.0, 46.0, 13.0, 14.0, 59.0, 34.0, 59.0, 27.0, 45.0, 33.0, 5.353379953379954]
9	MoeSQLmosa	13	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 36.0, 3.595386269724631E306, 1.7976931348623156E306, 3.595386269724631E306, 35.0, 1.7976931348623156E306]
9	MoeSQLmosa	14	1	[1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 6.0, 2.0, 5.0, 10.0, 2.0, 0.0, 1.0, 0.0, 1.0, 6.0, 3.0, 4.0, 5.0, 0.0, 1.0, 7.242676767676769]
9	MoeSQLmosa	15	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 5.393079404586947E306, 5.393079404586947E306, 2.0, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
9	MoeSQLmosa	16	1	[1.0, 2.0, 2.0, 2.0, 2.0, 7.0, 14.0, 3.0, 0.0, 1.0, 2.0, 1.0, 0.0, 8.0, 0.0, 2.0, 9.0, 9.0, 7.0, 0.0, 8.0, 8.0, 5.601960784313726]
9	MoeSQLmosa	17	1	[0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 3.0, 2.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 3.0, 0.0, 1.0, 1.0, 1.0, 4.568627450980392]
9	MOTGA	0	17	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
10	MoeSQLmosa	1	1	[4.128260869565217, 5.128260869565217, 5.128260869565217, 5.128260869565217, 5.128260869565217, 0.0, 1.0]
10	MoeSQLmosa	2	1	[46.5, 47.5, 47.5, 0.0, 1.0, 47.5, 47.5]
10	MoeSQLmosa	3	1	[4.128260869565217, 0.0, 1.0, 5.128260869565217, 5.128260869565217, 5.128260869565217, 5.128260869565217]
10	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
10	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
10	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
10	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
