Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	207	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	16	3	3	[0.0, 0.0, 0.0]	0	15	
2	MoeSQLmosa	58	2	2	[0.0, 0.0]	0	100	
2	MOTGA	7	2	2	[0.0, 0.0]	0	11	
3	MoeSQLmosa	131	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
3	MOTGA	78	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
4	MoeSQLmosa	70	2	2	[0.0, 0.0]	0	100	
4	MOTGA	5	2	2	[0.0, 0.0]	0	11	
5	MoeSQLmosa	57	2	2	[0.0, 0.0]	0	100	
5	MOTGA	2	2	2	[0.0, 0.0]	0	5	
6	MoeSQLmosa	24	2	2	[0.0, 0.0]	0	100	
6	MOTGA	4	2	2	[0.0, 0.0]	0	11	
7	MoeSQLmosa	63	1	1	[0.0]	0	100	
7	MOTGA	1	1	1	[0.0]	0	1	
8	MoeSQLmosa	33	2	2	[0.0, 0.0]	0	100	
8	MOTGA	2	2	2	[0.0, 0.0]	0	5	
9	MoeSQLmosa	39148	23	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	185	8945	
9	MOTGA	23813	23	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	8212	
10	MoeSQLmosa	118	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	433	
10	MOTGA	20	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
