Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
1	MoeSQLmosa	1	1	[0.0, 9.920868347338935, 1.0]
1	MoeSQLmosa	2	1	[1.0, 0.0, 1.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 1.0]
2	MoeSQLmosa	1	3	[8.0, 0.0, 1.0, 0.0, 0.0]
2	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
2	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
3	MoeSQLmosa	0	1	[3.428571428571429, 4.428571428571429, 4.428571428571429, 0.0, 1.0, 4.428571428571429, 4.428571428571429, 4.428571428571429, 4.428571428571429]
3	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
3	MoeSQLmosa	2	1	[5.017094017094017, 6.017094017094017, 6.017094017094017, 6.017094017094017, 6.017094017094017, 0.0, 1.0, 6.017094017094017, 6.017094017094017]
3	MoeSQLmosa	3	1	[8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
3	MoeSQLmosa	4	1	[35.03492063492063, 0.0, 1.0, 36.03492063492063, 36.03492063492063, 36.03492063492063, 36.03492063492063, 36.03492063492063, 36.03492063492063]
3	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
3	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	8	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 0.0, 0.0]
4	MoeSQLmosa	1	3	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0, 0.0, 1.0, 2.0]
4	MoeSQLmosa	2	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 3.0, 1.7976931348623156E306]
4	MoeSQLmosa	3	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 31.75, 30.75, 0.0]
4	MoeSQLmosa	4	2	[8.0, 9.0, 9.0, 0.0, 1.0, 9.0, 9.0, 2.0, 3.0, 8.0]
4	MoeSQLmosa	5	2	[16.666666666666664, 0.0, 1.0, 17.666666666666664, 17.666666666666664, 17.666666666666664, 17.666666666666664, 18.666666666666664, 19.666666666666664, 2.0]
4	MoeSQLmosa	6	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0]
4	MoeSQLmosa	7	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
4	MoeSQLmosa	8	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
4	MOTGA	0	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
5	MoeSQLmosa	0	2	[26.0, 27.0, 27.0, 27.0, 27.0, 27.0, 0.0, 0.0]
5	MoeSQLmosa	1	2	[1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 2.0, 1.0]
5	MoeSQLmosa	2	2	[8.0, 9.0, 9.0, 9.0, 0.0, 1.0, 2.0, 8.0]
5	MoeSQLmosa	3	2	[8.0, 0.0, 1.0, 9.0, 9.0, 9.0, 2.0, 8.0]
5	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306]
5	MoeSQLmosa	5	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
5	MoeSQLmosa	6	2	[21.373417586648078, 22.373417586648078, 22.373417586648078, 22.373417586648078, 22.373417586648078, 22.373417586648078, 0.0, 0.0]
5	MoeSQLmosa	7	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 2.0, 1.7976931348623156E306]
5	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	MoeSQLmosa	0	1	[0.0, 8.0, 1.0]
6	MoeSQLmosa	1	1	[1.0, 0.0, 1.0]
6	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
6	MOTGA	0	3	[0.0, 0.0, 0.0]
7	MoeSQLmosa	0	2	[23.37657114127702, 18.88571428571429, 18.88571428571429, 19.88571428571429, 0.0]
7	MoeSQLmosa	1	3	[0.0, 7.712503673526954, 0.0, 1.0, 2.0]
7	MoeSQLmosa	2	2	[1.0, 0.0, 2.0, 3.0, 2.0]
7	MoeSQLmosa	3	2	[1.0, 1.7976931348623156E306, 1.0, 0.0, 0.0]
7	MOTGA	0	6	[0.0, 0.0, 0.0, 0.0, 0.0]
8	MoeSQLmosa	0	2	[0.0, 0.0, 1.0]
8	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
8	MOTGA	0	3	[0.0, 0.0, 0.0]
9	MoeSQLmosa	0	2	[0.0, 0.0, 1.0]
9	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
9	MOTGA	0	3	[0.0, 0.0, 0.0]
10	MoeSQLmosa	0	1	[28.75, 29.75, 29.75, 0.0]
10	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0]
10	MoeSQLmosa	2	1	[8.0, 0.0, 1.0, 9.0]
10	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
10	MOTGA	0	4	[0.0, 0.0, 0.0, 0.0]
11	MoeSQLmosa	0	1	[0.0, 30.446310260984728]
11	MoeSQLmosa	1	1	[1.0, 0.0]
11	MOTGA	0	2	[0.0, 0.0]
12	MoeSQLmosa	0	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
12	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
12	MoeSQLmosa	2	1	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
12	MoeSQLmosa	3	1	[20.36124790558753, 21.36124790558753, 21.36124790558753, 0.0, 1.0, 21.36124790558753, 21.36124790558753]
12	MoeSQLmosa	4	1	[31.412524961049808, 0.0, 1.0, 32.41252496104981, 32.41252496104981, 32.41252496104981, 32.41252496104981]
12	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
12	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
12	MOTGA	0	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
13	MoeSQLmosa	0	1	[20.0, 21.0, 21.0, 0.0, 1.0, 21.0, 21.0]
13	MoeSQLmosa	1	1	[32.12524523139626, 33.12524523139626, 33.12524523139626, 33.12524523139626, 33.12524523139626, 0.0, 1.0]
13	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
13	MoeSQLmosa	3	1	[8.0, 0.0, 1.0, 9.0, 9.0, 9.0, 9.0]
