Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	119	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	16	3	3	[0.0, 0.0, 0.0]	0	24	
2	MoeSQLmosa	87	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
2	MOTGA	99	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	46	
3	MoeSQLmosa	613	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	420	
3	MOTGA	103	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
4	MoeSQLmosa	154	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	1976	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	9	349	
5	MoeSQLmosa	233	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	250	
5	MOTGA	214	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	206	
6	MoeSQLmosa	95	3	3	[0.0, 0.0, 0.0]	0	100	
6	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	24	
7	MoeSQLmosa	66	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	21	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	49	
8	MoeSQLmosa	15	3	3	[0.0, 0.0, 0.0]	0	100	
8	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	15	
9	MoeSQLmosa	9	3	3	[0.0, 0.0, 0.0]	0	100	
9	MOTGA	3	3	3	[0.0, 0.0, 0.0]	0	15	
10	MoeSQLmosa	19	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
10	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
11	MoeSQLmosa	27	2	2	[0.0, 0.0]	0	100	
11	MOTGA	3	2	2	[0.0, 0.0]	0	11	
12	MoeSQLmosa	101	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	285	
12	MOTGA	47	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
13	MoeSQLmosa	89	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	288	
13	MOTGA	31	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
14	MoeSQLmosa	21	2	2	[0.0, 0.0]	0	100	
14	MOTGA	2	2	2	[0.0, 0.0]	0	5	
15	MoeSQLmosa	55	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
15	MOTGA	28	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
16	MoeSQLmosa	13	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
16	MOTGA	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
17	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
17	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
18	MoeSQLmosa	16	2	2	[0.0, 0.0]	0	100	
18	MOTGA	2	2	2	[0.0, 0.0]	0	11	
19	MoeSQLmosa	29	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
19	MOTGA	14	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
20	MoeSQLmosa	189	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	8	475	
20	MOTGA	68	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	152	
21	MoeSQLmosa	33	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
21	MOTGA	16	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
22	MoeSQLmosa	16	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
22	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
23	MoeSQLmosa	56	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
23	MOTGA	80	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	119	
24	MoeSQLmosa	10	3	3	[0.0, 0.0, 0.0]	0	100	
24	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	7	
25	MoeSQLmosa	18	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
25	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
26	MoeSQLmosa	46	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
26	MOTGA	22	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	1	63	
27	MoeSQLmosa	46	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
27	MOTGA	30	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
28	MoeSQLmosa	130	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	382	
28	MOTGA	49	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
29	MoeSQLmosa	189	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	9	550	
29	MOTGA	50	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	3	73	
30	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
30	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	44	
31	MoeSQLmosa	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
31	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	33	
32	MoeSQLmosa	25	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
32	MOTGA	110	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	134	
33	MoeSQLmosa	22	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
33	MOTGA	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
34	MoeSQLmosa	17	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
34	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
35	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
35	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
36	MoeSQLmosa	31	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
36	MOTGA	26	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	44	
37	MoeSQLmosa	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
37	MOTGA	5	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
38	MoeSQLmosa	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
38	MOTGA	4	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
39	MoeSQLmosa	27	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
39	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
40	MoeSQLmosa	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
40	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
41	MoeSQLmosa	1256	12	12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	26	1400	
41	MOTGA	580	12	12	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	9	343	
42	MoeSQLmosa	58	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
42	MOTGA	30	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	2	80	
43	MoeSQLmosa	8765	15	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	442	22200	
43	MOTGA	260487	15	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]	8	2481	
44	MoeSQLmosa	14	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
44	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
45	MoeSQLmosa	20	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
45	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
46	MoeSQLmosa	24	2	2	[0.0, 0.0]	0	100	
46	MOTGA	1	2	2	[0.0, 0.0]	0	11	
47	MoeSQLmosa	8	3	3	[0.0, 0.0, 0.0]	0	100	
47	MOTGA	2	3	3	[0.0, 0.0, 0.0]	0	15	
48	MoeSQLmosa	7	3	3	[0.0, 0.0, 0.0]	0	100	
48	MOTGA	2	3	3	[0.0, 0.0, 0.0]	0	24	
49	MoeSQLmosa	12	2	2	[0.0, 0.0]	0	100	
49	MOTGA	1	2	2	[0.0, 0.0]	0	5	
50	MoeSQLmosa	124	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	292	
50	MOTGA	57	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
51	MoeSQLmosa	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
51	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
52	MoeSQLmosa	21	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
52	MOTGA	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
53	MoeSQLmosa	4	2	2	[0.0, 0.0]	0	100	
53	MOTGA	1	2	2	[0.0, 0.0]	0	5	
54	MoeSQLmosa	63	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	238	
54	MOTGA	41	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	200	
55	MoeSQLmosa	33	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
55	MOTGA	17	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
56	MoeSQLmosa	20	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
56	MOTGA	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
57	MoeSQLmosa	14	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
57	MOTGA	38	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	249	
58	MoeSQLmosa	85	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	250	
58	MOTGA	187	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	215	
59	MoeSQLmosa	61	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
59	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
60	MoeSQLmosa	25	2	2	[0.0, 0.0]	0	100	
60	MOTGA	1	2	2	[0.0, 0.0]	0	5	
61	MoeSQLmosa	16	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
61	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
62	MoeSQLmosa	19	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
62	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
63	MoeSQLmosa	29	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	145	
63	MOTGA	22	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	80	
64	MoeSQLmosa	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
64	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
65	MoeSQLmosa	21	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
65	MOTGA	16	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
66	MoeSQLmosa	16	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
66	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
67	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
67	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
68	MoeSQLmosa	5	3	3	[0.0, 0.0, 0.0]	0	100	
68	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	15	
69	MoeSQLmosa	24	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
69	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	22	
70	MoeSQLmosa	44	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
70	MOTGA	1738	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	2	444	
71	MoeSQLmosa	15	3	3	[0.0, 0.0, 0.0]	0	100	
71	MOTGA	3	3	3	[0.0, 0.0, 0.0]	0	15	
72	MoeSQLmosa	12	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
72	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
73	MoeSQLmosa	30	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
73	MOTGA	20	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	81	
74	MoeSQLmosa	20	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
74	MOTGA	20	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	109	
75	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
75	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	44	
76	MoeSQLmosa	26	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
76	MOTGA	27	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	2	72	
77	MoeSQLmosa	47	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	244	
77	MOTGA	23	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
78	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
78	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
79	MoeSQLmosa	10	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
79	MOTGA	10	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
80	MoeSQLmosa	11	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
80	MOTGA	14	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	88	
81	MoeSQLmosa	15	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
81	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
82	MoeSQLmosa	19	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
82	MOTGA	79	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	374	
83	MoeSQLmosa	17	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
83	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
84	MoeSQLmosa	13	2	2	[0.0, 0.0]	0	100	
84	MOTGA	2	2	2	[0.0, 0.0]	0	11	
85	MoeSQLmosa	53	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	146	
85	MOTGA	43	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
86	MoeSQLmosa	8	2	2	[0.0, 0.0]	0	100	
86	MOTGA	1	2	2	[0.0, 0.0]	0	11	
87	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
87	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
88	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
88	MOTGA	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
89	MoeSQLmosa	337	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	400	
89	MOTGA	61	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	7	130	
90	MoeSQLmosa	30	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
90	MOTGA	14	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
91	MoeSQLmosa	24	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
91	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	27	
92	MoeSQLmosa	822	13	13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	20	1100	
92	MOTGA	907	13	13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0]	12	292	
93	MoeSQLmosa	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
93	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
94	MoeSQLmosa	18	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
