Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	6	[20.29715245194099, 8.0, 12.29715245194099, 13.29715245194099, 20.29715245194099, 21.29715245194099, 0.0, 11.744511855999653, 11.744511855999653, 0.0, 11.744511855999653, 11.744511855999653, 0.0, 11.744511855999653, 44.0, 4.0, 11.744511855999653, 11.744511855999653, 0.0, 1.0, 11.744511855999653, 27.0, 4.0, 11.744511855999653, 11.744511855999653, 0.0, 1.0]
1	MoeSQLmosa	1	6	[12.001408825093035, 16.015732786151915, 13.001408825093035, 13.001408825093035, 12.001408825093035, 13.001408825093035, 0.0, 16.015732786151915, 16.015732786151915, 0.0, 16.015732786151915, 16.015732786151915, 0.0, 16.015732786151915, 0.0, 4.0, 16.015732786151915, 16.015732786151915, 2.0, 1.0, 16.015732786151915, 29.88888888888889, 4.0, 16.015732786151915, 16.015732786151915, 0.0, 1.0]
1	MoeSQLmosa	2	6	[22.829816366944257, 8.0, 14.829816366944256, 15.829816366944256, 22.829816366944257, 23.829816366944257, 0.0, 17.983424908424908, 17.983424908424908, 0.0, 17.983424908424908, 17.983424908424908, 0.0, 17.983424908424908, 25.333333333333336, 4.0, 17.983424908424908, 17.983424908424908, 0.0, 1.0, 17.983424908424908, 3.595386269724631E306, 4.0, 17.983424908424908, 17.983424908424908, 1.0, 0.0]
1	MoeSQLmosa	3	6	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 12.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 10.270892857142858, 10.270892857142858, 0.0, 10.270892857142858, 10.270892857142858, 0.0, 10.270892857142858, 3.595386269724631E306, 4.0, 10.270892857142858, 10.270892857142858, 1.0, 0.0, 10.270892857142858, 1.0, 3.0, 10.270892857142858, 10.270892857142858, 0.0, 1.0]
1	MoeSQLmosa	4	6	[12.5, 10.726372976904893, 13.5, 13.5, 14.5, 15.5, 2.0, 12.5, 13.5, 0.0, 10.726372976904893, 10.726372976904893, 2.0, 10.726372976904893, 1.7976931348623156E306, 4.0, 10.726372976904893, 10.726372976904893, 1.0, 0.0, 10.726372976904893, 0.0, 4.0, 10.726372976904893, 10.726372976904893, 2.0, 1.0]
1	MoeSQLmosa	5	6	[12.5, 11.875, 13.5, 13.5, 12.5, 13.5, 0.0, 11.875, 11.875, 0.0, 11.875, 11.875, 0.0, 11.875, 16.0, 4.0, 11.875, 11.875, 0.0, 1.0, 11.875, 4.0, 0.0, 11.875, 11.875, 2.0, 1.0]
1	MoeSQLmosa	6	7	[12.167195304695305, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 0.0, 11.75, 4.0, 12.167195304695305, 12.167195304695305, 0.0, 1.0]
1	MoeSQLmosa	7	6	[6.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0]
1	MoeSQLmosa	8	7	[0.6666666666666666, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666, 2.0, 0.6666666666666666, 2.0, 4.0, 0.6666666666666666, 0.6666666666666666, 2.0, 1.0, 0.6666666666666666, 2.0, 4.0, 0.6666666666666666, 0.6666666666666666, 2.0, 1.0]
1	MoeSQLmosa	9	6	[0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0]
1	MoeSQLmosa	10	7	[1.0, 1.0, 1.0, 0.0, 2.0, 3.0, 2.0, 0.0, 1.0, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	11	6	[14.944444444444445, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 0.0, 18.441013179692426, 4.0, 14.944444444444445, 14.944444444444445, 0.0, 1.0, 14.944444444444445, 2.0, 4.0, 14.944444444444445, 14.944444444444445, 2.0, 1.0]
1	MoeSQLmosa	12	6	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	13	6	[8.0, 9.0, 0.0, 1.0, 10.0, 11.0, 2.0, 10.0, 11.0, 2.0, 10.0, 11.0, 2.0, 13.0, 2.0, 4.0, 11.0, 12.0, 2.0, 1.0, 13.0, 2.0, 4.0, 11.0, 12.0, 2.0, 1.0]
1	MoeSQLmosa	14	8	[6.6838897365744145, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 0.0, 0.0, 0.0, 6.6838897365744145, 2.0, 4.0, 6.6838897365744145, 6.6838897365744145, 2.0, 1.0, 6.6838897365744145, 2.0, 4.0, 6.6838897365744145, 6.6838897365744145, 2.0, 1.0]
1	MoeSQLmosa	15	6	[17.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0, 17.0, 2.0, 4.0, 17.0, 17.0, 2.0, 1.0]
1	MoeSQLmosa	16	6	[1.7976931348623156E306, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	17	6	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	18	6	[12.5, 0.0, 13.5, 13.5, 14.5, 15.5, 2.0, 14.5, 15.5, 2.0, 14.5, 15.5, 2.0, 17.5, 2.0, 4.0, 15.5, 16.5, 2.0, 1.0, 17.5, 2.0, 4.0, 15.5, 16.5, 2.0, 1.0]
1	MoeSQLmosa	19	6	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 1.0, 0.0, 0.0, 1.0]
1	MoeSQLmosa	20	6	[12.29715245194099, 1.7976931348623156E306, 13.29715245194099, 13.29715245194099, 14.29715245194099, 15.29715245194099, 2.0, 14.29715245194099, 15.29715245194099, 2.0, 14.29715245194099, 15.29715245194099, 2.0, 12.29715245194099, 4.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 3.0, 1.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0]
1	MOTGA	0	14	[0.0, 1.0, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 0.0, 5.0, 0.0, 8.0, 0.0, 1.0, 0.0, 2.0]
1	MOTGA	1	7	[14.941176470588236, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 0.0, 29.88888888888889, 4.0, 14.941176470588236, 14.941176470588236, 0.0, 1.0, 14.941176470588236, 2.0, 0.0, 14.941176470588236, 14.941176470588236, 2.0, 1.0]
