Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	64962	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	305	15350	
1	MOTGA	36654	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	17	1499	
2	MoeSQLmosa	7046	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	69	3550	
2	MOTGA	1375	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	385	
3	MoeSQLmosa	62650	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	399	20050	
3	MOTGA	48269	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0]	20	1628	
4	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
5	MoeSQLmosa	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
5	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
6	MoeSQLmosa	268	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	20	1100	
6	MOTGA	33	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	4	83	
7	MoeSQLmosa	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
8	MoeSQLmosa	63	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	250	
8	MOTGA	113	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	4	124	
9	MoeSQLmosa	109	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	332	
9	MOTGA	14	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
10	MoeSQLmosa	156	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	15	850	
10	MOTGA	558	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]	3	167	
11	MoeSQLmosa	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
11	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
12	MoeSQLmosa	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
12	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	46	
13	MoeSQLmosa	25	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
13	MOTGA	40	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
14	MoeSQLmosa	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
14	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
15	MoeSQLmosa	2129	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	44	2300	
15	MOTGA	1628	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	8	415	
16	MoeSQLmosa	63163	43	43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.947368421052632, 6.0, 1.7976931348623156E306, 8.0, 14.0, 1.7976931348623156E306, 1.0, 1.7976931348623156E306, 1.0, 1.0, 1.0, 0.0]	261	13150	
16	MOTGA	188143	32	43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.0, 1.0, 1.7976931348623156E306, 1.0, 5.0, 1.7976931348623156E306, 0.0]	20	2265	
17	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	149	
17	MOTGA	4	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
18	MoeSQLmosa	87110	32	32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	712	35700	
18	MOTGA	32847	32	32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]	21	1618	
19	MoeSQLmosa	175996	30	30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1193	59750	
19	MOTGA	47872	30	30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	25	1861	
20	MoeSQLmosa	146293	33	33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	743	37250	
20	MOTGA	34506	33	33	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]	17	1457	
21	MoeSQLmosa	2061	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	25	1350	
21	MOTGA	1232	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	357	
22	MoeSQLmosa	778	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	44	2300	
22	MOTGA	14759	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 4.0]	3	1616	
23	MoeSQLmosa	4	3	3	[0.0, 0.0, 0.0]	0	100	
23	MOTGA	0	3	3	[0.0, 0.0, 0.0]	0	7	
24	MoeSQLmosa	197	11	11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	350	
24	MOTGA	3006	11	11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]	9	491	
25	MoeSQLmosa	4	3	3	[0.0, 0.0, 0.0]	0	100	
25	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	24	
26	MoeSQLmosa	868257	34	34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	18833	941750	
26	MOTGA	143691	34	34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	25	2074	
