Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	6	[20.5, 8.0, 12.5, 13.5, 20.5, 21.5, 0.0, 12.75, 12.75, 0.0, 12.75, 12.75, 0.0, 12.75, 40.104385133796896, 4.0, 12.75, 12.75, 0.0, 1.0, 12.75, 1.7976931348623156E306, 4.0, 12.75, 12.75, 0.0, 1.0]
1	MoeSQLmosa	1	6	[18.316038799909766, 1.0, 1.0, 1.0, 19.71440020295923, 1.0, 0.0, 18.316038799909766, 18.316038799909766, 0.0, 18.316038799909766, 18.316038799909766, 0.0, 18.316038799909766, 1.7976931348623156E306, 4.0, 18.316038799909766, 18.316038799909766, 1.0, 0.0, 18.316038799909766, 47.333333333333336, 4.0, 18.316038799909766, 18.316038799909766, 0.0, 1.0]
1	MoeSQLmosa	2	6	[20.17321164766814, 8.0, 12.173211647668142, 13.173211647668142, 20.17321164766814, 21.17321164766814, 0.0, 12.29715245194099, 12.29715245194099, 0.0, 12.29715245194099, 12.29715245194099, 0.0, 12.29715245194099, 0.0, 4.0, 12.29715245194099, 12.29715245194099, 2.0, 1.0, 12.29715245194099, 41.13614163614164, 4.0, 12.29715245194099, 12.29715245194099, 0.0, 1.0]
1	MoeSQLmosa	3	6	[19.55780479210712, 8.0, 11.557804792107119, 12.557804792107119, 19.55780479210712, 20.55780479210712, 0.0, 6.944444444444445, 6.944444444444445, 0.0, 6.944444444444445, 6.944444444444445, 0.0, 6.944444444444445, 1.0, 3.0, 6.944444444444445, 6.944444444444445, 0.0, 1.0, 6.944444444444445, 1.7976931348623156E306, 4.0, 6.944444444444445, 6.944444444444445, 1.0, 0.0]
1	MoeSQLmosa	4	6	[12.29715245194099, 18.19366515837104, 13.29715245194099, 13.29715245194099, 12.29715245194099, 13.29715245194099, 0.0, 18.19366515837104, 18.19366515837104, 0.0, 18.19366515837104, 18.19366515837104, 0.0, 18.19366515837104, 1.0, 3.0, 18.19366515837104, 18.19366515837104, 0.0, 1.0, 18.19366515837104, 0.0, 4.0, 18.19366515837104, 18.19366515837104, 2.0, 1.0]
1	MoeSQLmosa	5	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 0.0, 1.0, 3.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0]
1	MoeSQLmosa	6	7	[1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 4.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 2.0, 1.0]
1	MoeSQLmosa	7	7	[6.944444444444445, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, 0.0, 5.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 5.0, 2.0, 4.0, 0.0, 1.0, 0.0, 1.0]
1	MoeSQLmosa	8	7	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
1	MoeSQLmosa	9	6	[1.7976931348623156E306, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0, 1.7976931348623156E306, 2.0, 4.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.0]
