Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	55560	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	243	12250	
1	MOTGA	30568	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]	22	1490	
2	MoeSQLmosa	8794	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	63	3250	
2	MOTGA	579	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	317	
3	MoeSQLmosa	62883	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	390	19600	
3	MOTGA	82085	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 1.0]	21	1702	
4	MoeSQLmosa	17	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
5	MoeSQLmosa	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
5	MOTGA	4	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
6	MoeSQLmosa	177	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	9	550	
6	MOTGA	45	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	3	73	
7	MoeSQLmosa	10	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
8	MoeSQLmosa	251	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	16	900	
8	MOTGA	69	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]	3	119	
9	MoeSQLmosa	81	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	338	
9	MOTGA	18	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
10	MoeSQLmosa	237	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	19	1050	
10	MOTGA	441	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]	2	176	
11	MoeSQLmosa	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
11	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
12	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
12	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
13	MoeSQLmosa	37	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
13	MOTGA	22	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
14	MoeSQLmosa	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
14	MOTGA	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
15	MoeSQLmosa	2746	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	48	2500	
15	MOTGA	18062	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	8	698	
