Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	1	[1.0, 0.0, 1.0]
1	MoeSQLmosa	1	1	[0.0, 12.41504329004329, 1.0]
1	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	2	[0.0, 0.0]
2	MOTGA	0	2	[0.0, 0.0]
3	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]
3	MoeSQLmosa	1	2	[1.0, 0.0, 1.0, 0.0, 1.0, 2.0]
3	MoeSQLmosa	2	1	[1.0, 2.0, 2.0, 2.0, 1.0, 0.0]
3	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	2	[0.0, 0.0]
4	MOTGA	0	2	[0.0, 0.0]
5	MoeSQLmosa	0	2	[0.0, 0.0]
5	MOTGA	0	2	[0.0, 0.0]
6	MoeSQLmosa	0	1	[1.0, 0.0]
6	MoeSQLmosa	1	1	[0.0, 30.065301015301014]
6	MOTGA	0	2	[0.0, 0.0]
7	MoeSQLmosa	0	3	[0.0]
7	MOTGA	0	3	[0.0]
8	MoeSQLmosa	0	2	[0.0, 0.0]
8	MOTGA	0	2	[0.0, 0.0]
9	MoeSQLmosa	0	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
9	MoeSQLmosa	1	1	[12.0, 13.0, 13.0, 0.0, 1.0, 155.0, 241.0, 127.0, 69.0, 12.0, 69.0, 13.0, 70.0, 156.0, 69.0, 70.0, 213.0, 100.0, 213.0, 127.0, 155.0, 99.0, 54.0]
9	MoeSQLmosa	2	1	[41.0, 42.0, 42.0, 42.0, 42.0, 83.0, 164.0, 1.0, 0.0, 41.0, 0.0, 1.0, 82.0, 123.0, 41.0, 42.0, 82.0, 83.0, 122.0, 41.0, 81.0, 82.0, 83.0]
9	MoeSQLmosa	3	1	[42.22222222222222, 0.0, 1.0, 43.22222222222222, 43.22222222222222, 42.22222222222222, 96.22222222222223, 120.22222222222223, 97.22222222222223, 175.22222222222223, 252.22222222222223, 97.22222222222223, 96.22222222222223, 151.22222222222223, 96.22222222222223, 43.22222222222222, 228.22222222222223, 152.22222222222223, 228.22222222222223, 174.22222222222223, 150.22222222222223, 151.22222222222223, 44.15191919191919]
9	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 41.0, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306]
