Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	56046	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	324	16300	
1	MOTGA	138197	27	27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0]	22	1823	
2	MoeSQLmosa	8699	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	105	5350	
2	MOTGA	9925	18	18	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	8	584	
3	MoeSQLmosa	50201	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	500	25100	
3	MOTGA	66598	28	28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	24	1475	
4	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
5	MoeSQLmosa	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
5	MOTGA	4	4	4	[0.0, 0.0, 0.0, 0.0]	0	32	
6	MoeSQLmosa	200	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	21	1150	
6	MOTGA	77	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 3.0]	4	98	
7	MoeSQLmosa	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
8	MoeSQLmosa	177	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	13	750	
8	MOTGA	48	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]	3	86	
9	MoeSQLmosa	87	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	382	
9	MOTGA	16	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
10	MoeSQLmosa	178	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	10	600	
10	MOTGA	58	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 3.0]	3	97	
11	MoeSQLmosa	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
11	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
12	MoeSQLmosa	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	2	193	
12	MOTGA	5	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
13	MoeSQLmosa	57	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
13	MOTGA	23	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
14	MoeSQLmosa	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
14	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
15	MoeSQLmosa	1582	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	30	1600	
15	MOTGA	435	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	230	
16	MoeSQLmosa	74799	43	43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 1.7976931348623156E306, 0.0, 0.0, 0.0, 0.0]	381	19150	
16	MOTGA	1725295	35	43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 1.7976931348623156E306, 1.0, 1.0, 0.0, 0.0]	22	9461	
17	MoeSQLmosa	25	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	149	
17	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
18	MoeSQLmosa	146713	32	32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1910	95600	
18	MOTGA	27567	32	32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	20	1331	
19	MoeSQLmosa	391608	30	30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5250	262600	
19	MOTGA	69123	30	30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	26	1762	
20	MoeSQLmosa	129952	33	33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	816	40900	
20	MOTGA	28256	33	33	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0]	20	1519	
21	MoeSQLmosa	1858	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	32	1700	
21	MOTGA	2781	16	16	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	8	712	
22	MoeSQLmosa	414	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	21	1150	
22	MOTGA	377	6	6	[0.0, 0.0, 0.0, 0.0, 2.0, 4.0]	3	148	
23	MoeSQLmosa	3	3	3	[0.0, 0.0, 0.0]	0	100	
23	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	7	
