Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	124	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	11	3	3	[0.0, 0.0, 0.0]	0	24	
2	MoeSQLmosa	77	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
2	MOTGA	60	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	47	
3	MoeSQLmosa	488	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	9	516	
3	MOTGA	178	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
4	MoeSQLmosa	259	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	200	
4	MOTGA	519	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	6	215	
5	MoeSQLmosa	136	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	200	
5	MOTGA	383	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	192	
6	MoeSQLmosa	22	3	3	[0.0, 0.0, 0.0]	0	100	
6	MOTGA	5	3	3	[0.0, 0.0, 0.0]	0	24	
7	MoeSQLmosa	48	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	32	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	2	60	
8	MoeSQLmosa	19	3	3	[0.0, 0.0, 0.0]	0	100	
8	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	24	
9	MoeSQLmosa	12	3	3	[0.0, 0.0, 0.0]	0	100	
9	MOTGA	3	3	3	[0.0, 0.0, 0.0]	0	24	
10	MoeSQLmosa	19	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
10	MOTGA	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
11	MoeSQLmosa	26	2	2	[0.0, 0.0]	0	100	
11	MOTGA	1	2	2	[0.0, 0.0]	0	5	
12	MoeSQLmosa	75	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	146	
12	MOTGA	56	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
13	MoeSQLmosa	102	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	194	
13	MOTGA	30	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
14	MoeSQLmosa	18	2	2	[0.0, 0.0]	0	100	
14	MOTGA	1	2	2	[0.0, 0.0]	0	11	
