Query Number	Algorithm	Coverage %	Query Time Passed
1	evosql	3.7	4565
1	evosql	7.41	6556
1	evosql	11.11	9048
1	evosql	14.81	10816
1	evosql	18.52	16337
1	evosql	22.22	22282
1	evosql	25.93	22490
1	evosql	29.63	27502
1	evosql	33.33	31823
1	evosql	37.04	31884
1	evosql	40.74	34611
1	evosql	44.44	40465
1	evosql	48.15	40533
1	evosql	51.85	45488
1	evosql	55.56	45548
1	evosql	59.26	47835
1	evosql	62.96	336993
1	evosql	66.67	337164
1	evosql	70.37	337218
1	evosql	74.07	540221
1	evosql	77.78	541682
1	evosql	81.48	1082170
1	evosql	85.19	1082228
1	evosql	88.89	1144359
2	evosql	5.56	270
2	evosql	11.11	461
2	evosql	16.67	1034
2	evosql	22.22	1101
2	evosql	27.78	1538
2	evosql	33.33	1573
2	evosql	38.89	1946
2	evosql	44.44	2278
2	evosql	50	2326
2	evosql	55.56	2358
2	evosql	61.11	2614
2	evosql	66.67	2813
2	evosql	72.22	3123
2	evosql	77.78	4221
2	evosql	83.33	4262
2	evosql	88.89	4359
2	evosql	94.44	4399
2	evosql	100	5159
3	evosql	3.57	2591
3	evosql	7.14	5469
3	evosql	10.71	8170
3	evosql	14.29	11900
3	evosql	17.86	15355
3	evosql	21.43	17460
3	evosql	25	23497
3	evosql	28.57	23623
3	evosql	32.14	27435
3	evosql	35.71	30825
3	evosql	39.29	30887
3	evosql	42.86	34717
3	evosql	46.43	39182
3	evosql	50	39248
3	evosql	53.57	40892
3	evosql	57.14	40947
3	evosql	60.71	42675
3	evosql	64.29	45531
3	evosql	67.86	50838
3	evosql	71.43	51060
3	evosql	75	51116
3	evosql	78.57	55696
3	evosql	82.14	55768
3	evosql	85.71	57647
3	evosql	89.29	63776
3	evosql	92.86	70697
3	evosql	96.43	70886
3	evosql	100	70945
4	evosql	20	5
4	evosql	40	10
4	evosql	60	15
4	evosql	80	20
4	evosql	100	24
5	evosql	25	10
5	evosql	50	19
5	evosql	75	29
5	evosql	100	40
6	evosql	16.67	15
6	evosql	33.33	30
6	evosql	50	40
6	evosql	66.67	62
6	evosql	83.33	83
6	evosql	100	467
7	evosql	25	6
7	evosql	50	11
7	evosql	75	17
7	evosql	100	24
8	evosql	16.67	23
8	evosql	33.33	47
8	evosql	50	60
8	evosql	66.67	80
8	evosql	83.33	96
8	evosql	100	676
9	evosql	14.29	23
9	evosql	28.57	30
9	evosql	42.86	48
9	evosql	57.14	56
9	evosql	71.43	70
9	evosql	85.71	84
9	evosql	100	91
10	evosql	16.67	10
10	evosql	33.33	27
10	evosql	50	53
10	evosql	66.67	70
10	evosql	83.33	87
10	evosql	100	223
11	evosql	20	7
11	evosql	40	12
11	evosql	60	18
11	evosql	80	27
11	evosql	100	35
12	evosql	20	5
12	evosql	40	11
12	evosql	60	15
12	evosql	80	21
12	evosql	100	25
13	evosql	20	72
13	evosql	40	93
13	evosql	60	102
13	evosql	80	119
13	evosql	100	135
14	evosql	25	24
14	evosql	50	34
14	evosql	75	41
14	evosql	100	48
15	evosql	6.25	196
15	evosql	12.5	291
15	evosql	18.75	662
15	evosql	25	751
15	evosql	31.25	831
15	evosql	37.5	1261
15	evosql	43.75	1289
15	evosql	50	1318
15	evosql	56.25	1635
15	evosql	62.5	1661
15	evosql	68.75	1687
15	evosql	75	2313
15	evosql	81.25	2344
15	evosql	87.5	2398
15	evosql	93.75	3129
15	evosql	100	3155
16	evosql	2.33	2111
16	evosql	4.65	3791
16	evosql	6.98	7316
16	evosql	9.3	10676
16	evosql	11.63	12846
16	evosql	13.95	19834
16	evosql	16.28	25764
16	evosql	18.6	29471
16	evosql	20.93	32643
16	evosql	23.26	32698
16	evosql	25.58	34705
16	evosql	27.91	37500
16	evosql	30.23	37561
16	evosql	32.56	40616
16	evosql	34.88	44167
16	evosql	37.21	44232
16	evosql	39.53	47163
16	evosql	41.86	47211
16	evosql	44.19	48287
16	evosql	46.51	56544
16	evosql	48.84	64109
16	evosql	51.16	64218
16	evosql	53.49	64277
16	evosql	55.81	65515
16	evosql	58.14	65583
16	evosql	60.47	66846
16	evosql	62.79	69960
16	evosql	65.12	78734
16	evosql	67.44	78805
16	evosql	69.77	78867
16	evosql	72.09	79115
16	evosql	74.42	79489
16	evosql	76.74	80494
16	evosql	79.07	80793
16	evosql	81.4	82674
16	evosql	83.72	83921
16	evosql	86.05	85950
16	evosql	88.37	86430
16	evosql	90.7	87959
16	evosql	93.02	88489
16	evosql	95.35	88974
16	evosql	97.67	89443
16	evosql	100	90061
17	evosql	20	10
17	evosql	40	15
17	evosql	60	19
17	evosql	80	24
17	evosql	100	29
18	evosql	3.13	3752
18	evosql	6.25	5084
18	evosql	9.38	8365
18	evosql	12.5	10980
18	evosql	15.63	13514
18	evosql	18.75	15878
18	evosql	21.88	19562
18	evosql	25	19625
18	evosql	28.13	20848
18	evosql	31.25	23565
18	evosql	34.38	23629
18	evosql	37.5	28453
18	evosql	40.63	33605
18	evosql	43.75	33715
18	evosql	46.88	37954
18	evosql	50	38016
18	evosql	53.13	39212
18	evosql	56.25	41323
18	evosql	59.38	46277
18	evosql	62.5	46347
18	evosql	65.63	46413
18	evosql	68.75	50828
18	evosql	71.88	51011
18	evosql	75	53350
18	evosql	78.13	56798
18	evosql	81.25	61879
18	evosql	84.38	61963
18	evosql	87.5	62037
18	evosql	90.63	64774
18	evosql	93.75	73942
18	evosql	96.88	79158
18	evosql	100	84066
19	evosql	3.33	7327
19	evosql	6.67	13144
19	evosql	10	19727
19	evosql	13.33	24052
19	evosql	16.67	36600
19	evosql	20	45650
19	evosql	23.33	45774
19	evosql	26.67	53395
19	evosql	30	64659
19	evosql	33.33	64844
19	evosql	36.67	74010
19	evosql	40	91585
19	evosql	43.33	91652
19	evosql	46.67	95657
19	evosql	50	95718
19	evosql	53.33	97287
19	evosql	56.67	340650
19	evosql	60	340813
19	evosql	63.33	482819
19	evosql	66.67	486791
19	evosql	70	826870
19	evosql	73.33	827041
19	evosql	76.67	1039444
19	evosql	80	1040867
19	evosql	83.33	1343898
19	evosql	86.67	1439084
20	evosql	3.03	4053
20	evosql	6.06	8373
20	evosql	9.09	11009
20	evosql	12.12	15605
20	evosql	15.15	22787
20	evosql	18.18	22866
20	evosql	21.21	29792
20	evosql	24.24	37170
20	evosql	27.27	37248
20	evosql	30.3	39705
20	evosql	33.33	43207
20	evosql	36.36	43279
20	evosql	39.39	45776
20	evosql	42.42	45855
20	evosql	45.45	47815
20	evosql	48.48	51700
20	evosql	51.52	71612
20	evosql	54.55	71683
20	evosql	57.58	71746
20	evosql	60.61	76183
20	evosql	63.64	76267
20	evosql	66.67	79159
20	evosql	69.7	86868
20	evosql	72.73	95860
20	evosql	75.76	95959
20	evosql	78.79	96055
20	evosql	81.82	100976
20	evosql	84.85	101086
20	evosql	87.88	102025
