Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	110	0	50		
1	evosql	2	1	38	0	50		
1	evosql	3	1	32	0	50		
2	evosql	1	1	50	0	50		
2	evosql	2	1	44	0	50		
2	evosql	3	1	25	0	50		
2	evosql	4	1	29	0	50		
2	evosql	5	1	36	0	50		
3	evosql	1	1	79	1	99		
3	evosql	2	1	32	0	50		
3	evosql	3	1	250	8	441		
3	evosql	4	1	60	2	144		
3	evosql	5	1	179	3	191		
3	evosql	6	1	16	0	50		
3	evosql	7	1	131	7	393		
3	evosql	8	1	75	3	197		
3	evosql	9	1	149	5	295		
4	evosql	1	1	56	0	50		
4	evosql	2	1	50	0	50		
4	evosql	3	1	40	0	50		
4	evosql	4	1	44	0	50		
4	evosql	5	1	43	0	50		
4	evosql	6	1	33	0	50		
4	evosql	7	1	28	0	50		
4	evosql	8	1	30	0	50		
4	evosql	9	1	34	0	50		
4	evosql	10	1	173	0	50		
5	evosql	1	1	45	0	50		
5	evosql	2	1	33	0	50		
5	evosql	3	1	118	2	144		
5	evosql	4	1	30	0	50		
5	evosql	5	1	19	0	50		
5	evosql	6	1	21	0	50		
5	evosql	7	1	48	0	50		
5	evosql	8	1	29	0	50		
6	evosql	1	1	21	0	50		
6	evosql	2	1	16	0	50		
6	evosql	3	1	16	0	50		
7	evosql	1	1	29	0	50		
7	evosql	2	1	29	0	50		
7	evosql	3	1	33	0	50		
7	evosql	4	1	31	0	50		
7	evosql	5	1	30	0	50		
8	evosql	1	1	15	0	50		
8	evosql	2	1	20	0	50		
8	evosql	3	1	13	0	50		
9	evosql	1	1	12	0	50		
9	evosql	2	1	9	0	50		
9	evosql	3	1	10	0	50		
10	evosql	1	1	16	0	50		
10	evosql	2	1	16	0	50		
10	evosql	3	1	14	0	50		
10	evosql	4	1	13	0	50		
11	evosql	1	1	26	0	50		
11	evosql	2	1	23	0	50		
12	evosql	1	1	13	0	50		
12	evosql	2	1	11	0	50		
12	evosql	3	1	56	3	196		
12	evosql	4	1	12	0	50		
12	evosql	5	1	32	2	145		
12	evosql	6	1	16	0	50		
12	evosql	7	1	48	2	148		
13	evosql	1	1	65	1	98		
13	evosql	2	1	17	0	50		
13	evosql	3	1	36	1	98		
13	evosql	4	1	17	0	50		
13	evosql	5	1	30	1	97		
13	evosql	6	1	14	0	50		
13	evosql	7	1	11	0	50		
