Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	1	[0.0, 13.032415389527458, 1.0]
1	MoeSQLmosa	1	1	[1.0, 0.0, 1.0]
1	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	2	[8.0, 9.0, 9.0, 0.0, 0.0]
2	MoeSQLmosa	1	1	[32.0, 0.0, 1.0, 33.0, 33.0]
2	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0]
2	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
2	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
3	MoeSQLmosa	0	1	[44.666666666666664, 45.666666666666664, 45.666666666666664, 0.0, 1.0, 45.666666666666664, 45.666666666666664, 45.666666666666664, 45.666666666666664]
3	MoeSQLmosa	1	1	[5.095663650075415, 0.0, 1.0, 6.095663650075415, 6.095663650075415, 6.095663650075415, 6.095663650075415, 6.095663650075415, 6.095663650075415]
3	MoeSQLmosa	2	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
3	MoeSQLmosa	3	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
3	MoeSQLmosa	4	1	[5.017094017094017, 6.017094017094017, 6.017094017094017, 6.017094017094017, 6.017094017094017, 0.0, 1.0, 6.017094017094017, 6.017094017094017]
3	MoeSQLmosa	5	1	[8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
3	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	8	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	2	[14.875, 15.875, 15.875, 15.875, 15.875, 15.875, 15.875, 0.0, 1.0, 0.0]
4	MoeSQLmosa	1	2	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0, 10.0, 11.0, 2.0]
4	MoeSQLmosa	2	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 37.666666666666664, 36.666666666666664, 0.0]
4	MoeSQLmosa	3	2	[15.666666666666668, 0.0, 1.0, 16.666666666666668, 16.666666666666668, 16.666666666666668, 16.666666666666668, 17.666666666666668, 18.666666666666668, 2.0]
4	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
4	MoeSQLmosa	5	2	[8.0, 9.0, 9.0, 0.0, 1.0, 9.0, 9.0, 2.0, 3.0, 8.0]
4	MoeSQLmosa	6	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0]
4	MoeSQLmosa	7	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.0, 0.0, 0.0]
4	MoeSQLmosa	8	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
4	MoeSQLmosa	9	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 3.0, 1.7976931348623156E306]
4	MOTGA	0	11	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	MoeSQLmosa	0	2	[50.0, 51.0, 51.0, 29.0, 42.0, 43.0, 0.0, 29.0]
5	MoeSQLmosa	1	4	[5.0, 0.0, 1.0, 0.0, 6.0, 0.0, 2.0, 1.7976931348623156E306]
5	MoeSQLmosa	2	2	[8.0, 9.0, 9.0, 9.0, 0.0, 1.0, 2.0, 8.0]
5	MoeSQLmosa	3	2	[25.0, 26.0, 26.0, 26.0, 26.0, 26.0, 0.0, 0.0]
5	MoeSQLmosa	4	2	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
5	MoeSQLmosa	5	2	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 2.0, 1.7976931348623156E306]
5	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	MoeSQLmosa	0	2	[0.0, 8.0, 0.0]
6	MoeSQLmosa	1	1	[1.0, 0.0, 1.0]
6	MOTGA	0	3	[0.0, 0.0, 0.0]
7	MoeSQLmosa	0	3	[1.0, 0.0, 0.0, 1.0, 2.0]
