Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	285	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	20	3	3	[0.0, 0.0, 0.0]	0	15	
2	MoeSQLmosa	60	2	2	[0.0, 0.0]	0	100	
2	MOTGA	5	2	2	[0.0, 0.0]	0	11	
3	MoeSQLmosa	276	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	148	
3	MOTGA	69	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
4	MoeSQLmosa	68	2	2	[0.0, 0.0]	0	100	
4	MOTGA	2	2	2	[0.0, 0.0]	0	5	
5	MoeSQLmosa	87	2	2	[0.0, 0.0]	0	100	
5	MOTGA	5	2	2	[0.0, 0.0]	0	5	
6	MoeSQLmosa	29	2	2	[0.0, 0.0]	0	100	
6	MOTGA	5	2	2	[0.0, 0.0]	0	11	
7	MoeSQLmosa	41	1	1	[0.0]	0	100	
7	MOTGA	1	1	1	[0.0]	0	1	
8	MoeSQLmosa	63	2	2	[0.0, 0.0]	0	100	
8	MOTGA	3	2	2	[0.0, 0.0]	0	11	
9	MoeSQLmosa	51977	23	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	232	11114	
9	MOTGA	16880	23	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	6445	
10	MoeSQLmosa	144	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	340	
10	MOTGA	23	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
11	MoeSQLmosa	19	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
11	MOTGA	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	76	
12	MoeSQLmosa	35	3	3	[0.0, 0.0, 0.0]	0	100	
12	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	24	
13	MoeSQLmosa	14	2	2	[0.0, 0.0]	0	100	
13	MOTGA	1	2	2	[0.0, 0.0]	0	11	
14	MoeSQLmosa	26	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
14	MOTGA	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
15	MoeSQLmosa	10	2	2	[0.0, 0.0]	0	100	
15	MOTGA	1	2	2	[0.0, 0.0]	0	11	
16	MoeSQLmosa	0	0	0	[]	0	0	
17	MoeSQLmosa	10	2	2	[0.0, 0.0]	0	100	
17	MOTGA	1	2	2	[0.0, 0.0]	0	11	
18	MoeSQLmosa	761	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	10	576	
18	MOTGA	335	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	500	
19	MoeSQLmosa	20	2	2	[0.0, 0.0]	0	100	
19	MOTGA	1	2	2	[0.0, 0.0]	0	5	
20	MoeSQLmosa	244	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
20	MOTGA	189	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0]	4	99	
21	MoeSQLmosa	25	2	2	[0.0, 0.0]	0	100	
21	MOTGA	2	2	2	[0.0, 0.0]	0	11	
22	MoeSQLmosa	16	3	3	[0.0, 0.0, 0.0]	0	100	
22	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	15	
23	MoeSQLmosa	54	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	3	246	
23	MOTGA	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
24	MoeSQLmosa	16	2	2	[0.0, 0.0]	0	100	
24	MOTGA	2	2	2	[0.0, 0.0]	0	11	
