Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	2	[0.0, 0.0, 1.0]
1	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	1	[0.0, 26.631056797361147]
2	MoeSQLmosa	1	1	[1.0, 0.0]
2	MOTGA	0	2	[0.0, 0.0]
3	MoeSQLmosa	0	1	[33.76024935041626, 0.0, 1.0, 34.76024935041626, 33.76024935041626, 34.76024935041626]
3	MoeSQLmosa	1	1	[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]
3	MoeSQLmosa	2	1	[1.0, 2.0, 2.0, 0.0, 1.0, 2.0]
3	MoeSQLmosa	3	1	[1.0, 2.0, 2.0, 2.0, 1.0, 0.0]
3	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	2	[0.0, 0.0]
4	MOTGA	0	2	[0.0, 0.0]
5	MoeSQLmosa	0	2	[0.0, 0.0]
5	MOTGA	0	2	[0.0, 0.0]
6	MoeSQLmosa	0	1	[1.0, 0.0]
6	MoeSQLmosa	1	1	[0.0, 20.838450179763743]
6	MOTGA	0	2	[0.0, 0.0]
7	MoeSQLmosa	0	3	[0.0]
7	MOTGA	0	3	[0.0]
8	MoeSQLmosa	0	1	[0.0, 6.960862281350086]
8	MoeSQLmosa	1	1	[1.0, 0.0]
8	MOTGA	0	2	[0.0, 0.0]
9	MoeSQLmosa	0	1	[39.0, 40.0, 40.0, 0.0, 1.0, 185.0, 81.0, 82.0, 289.0, 123.0, 165.0, 143.0, 81.0, 39.0, 142.0, 40.0, 81.0, 40.0, 225.0, 122.0, 184.0, 246.0, 43.22784090909091]
9	MoeSQLmosa	1	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
9	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
9	MoeSQLmosa	3	1	[0.0, 1.0, 1.0, 1.0, 1.0, 81.0, 36.0, 37.0, 126.0, 72.0, 108.0, 45.0, 36.0, 0.0, 44.0, 1.0, 36.0, 1.0, 115.0, 71.0, 80.0, 89.0, 4.227840909090909]
9	MoeSQLmosa	4	1	[36.0, 37.0, 37.0, 37.0, 37.0, 50.0, 100.0, 37.0, 0.0, 36.0, 72.0, 1.0, 0.0, 51.0, 0.0, 1.0, 87.0, 52.0, 85.0, 35.0, 50.0, 51.0, 40.22784090909091]
9	MoeSQLmosa	5	1	[42.22222222222222, 0.0, 1.0, 43.22222222222222, 43.22222222222222, 123.22222222222223, 78.22222222222223, 79.22222222222223, 168.22222222222223, 114.22222222222223, 150.22222222222223, 87.22222222222223, 78.22222222222223, 42.22222222222222, 86.22222222222223, 43.22222222222222, 78.22222222222223, 43.22222222222222, 157.22222222222223, 113.22222222222223, 122.22222222222223, 131.22222222222223, 46.45006313131313]
9	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 36.0, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 5.393079404586947E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 3.595386269724631E306, 5.393079404586947E306, 5.393079404586947E306, 5.393079404586947E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306]
9	MoeSQLmosa	7	1	[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 43.0, 37.0, 44.0, 79.0, 115.0, 44.0, 43.0, 87.0, 43.0, 1.0, 123.0, 88.0, 121.0, 78.0, 86.0, 87.0, 4.2287878787878785]
9	MoeSQLmosa	8	1	[1.0, 2.0, 2.0, 2.0, 2.0, 82.0, 37.0, 38.0, 127.0, 73.0, 109.0, 46.0, 37.0, 1.0, 45.0, 2.0, 37.0, 2.0, 116.0, 72.0, 81.0, 90.0, 0.0]
9	MoeSQLmosa	9	1	[38.0, 39.0, 39.0, 39.0, 39.0, 45.0, 0.0, 1.0, 90.0, 38.0, 0.0, 45.0, 76.0, 38.0, 82.0, 39.0, 0.0, 1.0, 82.0, 38.0, 44.0, 89.0, 42.47784090909091]
9	MoeSQLmosa	10	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 38.0, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306]
9	MoeSQLmosa	11	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 5.393079404586947E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 5.393079404586947E306, 3.595386269724631E306, 48.0, 3.595386269724631E306, 1.7976931348623156E306, 3.595386269724631E306, 47.0, 1.7976931348623156E306]
