Query Number	Algorithm	SolutionNumber	Size	Distance
1	MoeSQLmosa	0	1	[1.0, 0.0, 1.0]
1	MoeSQLmosa	1	1	[0.0, 20.308333333333334, 1.0]
1	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0]
1	MOTGA	0	3	[0.0, 0.0, 0.0]
2	MoeSQLmosa	0	1	[0.0, 1.0, 1.0, 1.0, 1.0]
2	MoeSQLmosa	1	1	[19.0, 0.0, 1.0, 20.0, 20.0]
2	MoeSQLmosa	2	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
2	MoeSQLmosa	3	1	[8.0, 9.0, 9.0, 0.0, 1.0]
2	MoeSQLmosa	4	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
2	MOTGA	0	5	[0.0, 0.0, 0.0, 0.0, 0.0]
3	MoeSQLmosa	0	1	[31.608333333333334, 32.608333333333334, 32.608333333333334, 32.608333333333334, 32.608333333333334, 0.0, 1.0, 32.608333333333334, 32.608333333333334]
3	MoeSQLmosa	1	1	[5.017094017094017, 6.017094017094017, 6.017094017094017, 0.0, 1.0, 6.017094017094017, 6.017094017094017, 6.017094017094017, 6.017094017094017]
3	MoeSQLmosa	2	1	[8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0]
3	MoeSQLmosa	3	1	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
3	MoeSQLmosa	4	1	[3.428571428571429, 0.0, 1.0, 4.428571428571429, 4.428571428571429, 4.428571428571429, 4.428571428571429, 4.428571428571429, 4.428571428571429]
3	MoeSQLmosa	5	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0]
3	MoeSQLmosa	6	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	7	1	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
3	MoeSQLmosa	8	1	[1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
3	MOTGA	0	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	MoeSQLmosa	0	2	[4.9, 0.0, 1.0, 5.9, 5.9, 5.9, 5.9, 6.9, 7.9, 2.0]
4	MoeSQLmosa	1	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 34.5, 33.5, 0.0]
4	MoeSQLmosa	2	2	[8.0, 9.0, 9.0, 9.0, 9.0, 0.0, 1.0, 10.0, 11.0, 2.0]
4	MoeSQLmosa	3	2	[28.833333333333336, 29.833333333333336, 29.833333333333336, 20.833333333333336, 21.833333333333336, 29.833333333333336, 29.833333333333336, 0.0, 1.0, 8.0]
4	MoeSQLmosa	4	2	[1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 2.0]
