Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
1	MoeSQLmosa	554	3	3	[0.0, 0.0, 0.0]	0	100	
1	MOTGA	13	3	3	[0.0, 0.0, 0.0]	0	24	
2	MoeSQLmosa	114	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
2	MOTGA	62	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
3	MoeSQLmosa	626	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	426	
3	MOTGA	164	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
4	MoeSQLmosa	219	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
4	MOTGA	318	10	10	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	169	
5	MoeSQLmosa	223	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	450	
5	MOTGA	252	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	5	179	
6	MoeSQLmosa	26	3	3	[0.0, 0.0, 0.0]	0	100	
6	MOTGA	6	3	3	[0.0, 0.0, 0.0]	0	24	
7	MoeSQLmosa	43	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
7	MOTGA	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	2	46	
8	MoeSQLmosa	17	3	3	[0.0, 0.0, 0.0]	0	100	
8	MOTGA	6	3	3	[0.0, 0.0, 0.0]	0	24	
9	MoeSQLmosa	19	3	3	[0.0, 0.0, 0.0]	0	100	
9	MOTGA	5	3	3	[0.0, 0.0, 0.0]	0	15	
10	MoeSQLmosa	39	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
10	MOTGA	15	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
11	MoeSQLmosa	37	2	2	[0.0, 0.0]	0	100	
11	MOTGA	2	2	2	[0.0, 0.0]	0	5	
12	MoeSQLmosa	89	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	194	
12	MOTGA	39	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
13	MoeSQLmosa	56	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	147	
13	MOTGA	41	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
14	MoeSQLmosa	26	2	2	[0.0, 0.0]	0	100	
14	MOTGA	1	2	2	[0.0, 0.0]	0	5	
15	MoeSQLmosa	79	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	197	
15	MOTGA	74	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
16	MoeSQLmosa	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
16	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	44	
17	MoeSQLmosa	17	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
17	MOTGA	21	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
18	MoeSQLmosa	11	2	2	[0.0, 0.0]	0	100	
18	MOTGA	1	2	2	[0.0, 0.0]	0	11	
19	MoeSQLmosa	30	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
19	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
